permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
PP,Plumbing Permit,1999-004213 PP,Residential,R- 434 Addition & Alterations,Addition,No,1208 Marshall Lane                 A .00000,Add Bedroom Bath Storage Deck & Ramp,0110011002,LOT 8 BLK E OLT 7 DIV Z SHELLEY HEIGHTS,1999-07-11T00:00:00.000,1999-07-11T00:00:00.000,SUNDAY,1999,1999,No,Permit Center,Final,2007-05-22T00:00:00.000,1999-11-24T00:00:00.000,1999-11-24T00:00:00.000,,,1,1208 MARSHALL LN,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3720409'},3720409,30.28016018,-97.75710977,"{'latitude': '30.28016018', 'longitude': '-97.75710977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,50000,,,,,666934,,,,
BP,Building Permit,1999-004213 BP,Residential,R- 434 Addition & Alterations,Addition,No,1208 Marshall Lane                 A .00000,Add Bedroom Bath Storage Deck & Ramp,0110011002,LOT 8 BLK E OLT 7 DIV Z SHELLEY HEIGHTS,1999-07-11T00:00:00.000,1999-07-11T00:00:00.000,SUNDAY,1999,1999,No,Permit Center,Final,2007-05-22T00:00:00.000,1999-11-24T00:00:00.000,1999-11-24T00:00:00.000,,,1,1208 MARSHALL LN,AUSTIN,TX,78703,9,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=666934'},666934,30.28016018,-97.75710977,"{'latitude': '30.28016018', 'longitude': '-97.75710977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,,50000,,,,,,,,,
PP,Plumbing Permit,1999-004585 PP,Residential,R- 434 Addition & Alterations,Addition,No,9803 Willers Way                   C .00000,Ada Modifications Add 2 Wheel Chair Ramps,0428230715,LOT 33 BLK F TANGLEWOOD FOREST SEC 2 PHS A,1999-07-11T00:00:00.000,1999-07-11T00:00:00.000,SUNDAY,1999,1999,No,Permit Center,Final,2007-05-22T00:00:00.000,1999-09-13T00:00:00.000,1999-09-13T00:00:00.000,,,1,9803 WILLERS WAY,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3720573'},3720573,30.17791095,-97.82971488,"{'latitude': '30.17791095', 'longitude': '-97.82971488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,21500,,,,,667124,,,,
MP,Mechanical Permit,1999-004585 MP,Residential,R- 434 Addition & Alterations,Addition,No,9803 Willers Way                   C .00000,Ada Modifications Add 2 Wheel Chair Ramps,0428230715,LOT 33 BLK F TANGLEWOOD FOREST SEC 2 PHS A,1999-07-11T00:00:00.000,1999-07-11T00:00:00.000,SUNDAY,1999,1999,No,Permit Center,Final,2007-05-22T00:00:00.000,2007-08-29T00:00:00.000,1999-09-13T00:00:00.000,,,1,9803 WILLERS WAY,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3377782'},3377782,30.17791095,-97.82971488,"{'latitude': '30.17791095', 'longitude': '-97.82971488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,21500,,,,,667124,,,,
EP,Electrical Permit,1999-006154 EP,Residential,R- 434 Addition & Alterations,Addition,No,4500 Hyridge Drive                 A  00000,Add 2 Level Entry W/Elevator & Remodel Entry,0150030262,LOT 44 TWIN MESA,1999-01-19T00:00:00.000,1999-01-19T00:00:00.000,TUESDAY,1999,1999,No,Permit Center,VOID,2008-06-23T00:00:00.000,2007-08-29T00:00:00.000,1999-07-18T00:00:00.000,,,1,4500 HYRIDGE DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=4281266'},4281266,,,,No,,65000,,,,,661726,,,,
BP,Building Permit,1999-006154 BP,Residential,R- 434 Addition & Alterations,Addition,No,4500 Hyridge Drive                 A  00000,Add 2 Level Entry W/Elevator & Remodel Entry,0150030262,LOT 44 TWIN MESA,1999-01-19T00:00:00.000,1999-01-19T00:00:00.000,TUESDAY,1999,1999,No,Permit Center,Final,2008-06-23T00:00:00.000,1999-06-14T00:00:00.000,1999-06-14T00:00:00.000,,,1,4500 HYRIDGE DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=661726'},661726,,,,No,,65000,,,,,,,,,
MP,Mechanical Permit,1999-006154 MP,Residential,R- 434 Addition & Alterations,Addition,No,4500 Hyridge Drive                 A  00000,Add 2 Level Entry W/Elevator & Remodel Entry,0150030262,LOT 44 TWIN MESA,1999-01-19T00:00:00.000,1999-01-19T00:00:00.000,TUESDAY,1999,1999,No,Permit Center,Final,2007-05-22T00:00:00.000,1999-06-14T00:00:00.000,1999-06-14T00:00:00.000,,,1,4500 HYRIDGE DR,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3371204'},3371204,,,,No,,65000,,,,,661726,,,,
MP,Mechanical Permit,1998-004710 MP,Residential,R- 435 Renovations/Remodel,Remodel,No,7609 Scenic Brook Drive            A  00000,Enlarge Master Br & Make Handicap Accessible,0408481122,LOT 6 BLK OO WINDMILL RUN SEC 3-A,1998-06-09T00:00:00.000,1998-06-09T00:00:00.000,TUESDAY,1998,1998,No,Permit Center,Expired,2007-05-22T00:00:00.000,2007-08-29T00:00:00.000,1998-12-06T00:00:00.000,,,1,7609 SCENIC BROOK DR,AUSTIN,TX,78736,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3363617'},3363617,30.23591498,-97.89606302,"{'latitude': '30.23591498', 'longitude': '-97.89606302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,14723,,,,,655815,,,,
PP,Plumbing Permit,1998-007631 PP,Residential,R- 434 Addition & Alterations,Addition,No,1141 Gunter Street                 A? 00000,Addition For Handicap Bathroom,0207170324,LOT 1 OLT 57 DIV A GLADYS ADDN,1998-06-22T00:00:00.000,1998-06-22T00:00:00.000,MONDAY,1998,1998,No,Permit Center,Final,2007-05-22T00:00:00.000,1998-08-13T00:00:00.000,1998-08-13T00:00:00.000,,1,1,1141 GUNTER ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3711747'},3711747,30.27089735,-97.69588244,"{'latitude': '30.27089735', 'longitude': '-97.69588244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,1000,,,,,656210,,,,
PP,Plumbing Permit,1998-004710 PP,Residential,R- 435 Renovations/Remodel,Remodel,No,7609 Scenic Brook Drive            A  00000,Enlarge Master Br & Make Handicap Accessible,0408481122,LOT 6 BLK OO WINDMILL RUN SEC 3-A,1998-06-09T00:00:00.000,1998-06-09T00:00:00.000,TUESDAY,1998,1998,No,Permit Center,Final,2008-09-29T00:00:00.000,1998-12-11T00:00:00.000,1998-12-11T00:00:00.000,,,1,7609 SCENIC BROOK DR,AUSTIN,TX,78736,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=3711445'},3711445,30.23591498,-97.89606302,"{'latitude': '30.23591498', 'longitude': '-97.89606302', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,14723,,,,,655815,,,,
