city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
austin,8509 FM 969 RD BLDG 628,,,30.27553366,-97.63834312,yes,building,2,2,0,ramp,2015-07-01T00:00:00.000,2015-07-14T00:00:00.000,2015-079272 EP; 2015-079272 BP,,Remodel & Relocate Portable Classroom Building w/Assocstair/Ramp,permit
austin,8509 FM 969 RD BLDG 629,,,30.27553366,-97.63834312,yes,building,2,2,0,ramp,2015-07-01T00:00:00.000,2015-07-14T00:00:00.000,2015-079273 EP; 2015-079273 BP,,Remodel & Relocate Portable Classroom Building w/Assocstair/Ramp,permit
austin,8530 S CONGRESS AVE,,,30.17219818,-97.78605779,yes,building,2,2,0,handicap; ramp,2002-06-21T00:00:00.000,2014-11-20T00:00:00.000,2014-124551 BP; 2002-002370 BP,,Change of Use ONLY from Auto Repair to Auto Repair with Auto Sales w/ADA ramp (replaces Exp Pmt #2002-002370BP),permit
austin,8800 N IH 35 SVRD SB BLDG 11,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004408 BP; 2006-012525 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 12,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004409 BP; 2006-012526 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 13,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004410 BP; 2006-012527 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 14,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004411 BP; 2006-012528 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 19,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004416 BP; 2006-012529 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 20,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004417 BP; 2006-012530 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
austin,8800 N IH 35 SVRD SB BLDG 21,,,,,no,building,2,2,0,handrail,2006-07-12T00:00:00.000,2007-02-21T00:00:00.000,2007-004418 BP; 2006-012531 BP,,Repair  & Replace  Existing Hand Rails To Exst Comm Apts,none
