OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
6256,BP 3ALT 19-7671,COMPLETED -ALL INSP SIGNED OFF,161 LAKESHORE RD W,,INTERIOR ALTERATIONS - UPGRAGE TO ELEVATOR  STRUCTURAL ALT. TO REAR ROOF SERVICE GUARD  BARRIER-FREE RAMP AT FRONT - CLARKE MEMORIAL HALL,ALTERATION TO EXISTING BLDG,PUBLIC,CITY,,,,70000,,N,L5H 1G3,,1,08,43.54810263,-79.58890879,1565222400000,2019-08-29,1616457600000,43.548102630907806,-79.58890878862347
6324,BP 3ALT 18-2961,COMPLETED -ALL INSP SIGNED OFF,6354 VISCOUNT RD,,INTERIOR ALTERATIONS  LOADING RAMP & DOORS - BRANSON INTERNATIONAL INC,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,391000,,N,L4V 1H3,,5,40w,43.69225041,-79.62346989,1533859200000,2019-09-04,1658793600000,43.692250409428155,-79.62346988707759
6433,BP 3ALT 19-6538,COMPLETED -ALL INSP SIGNED OFF,6836 PROFESSIONAL CRT,,INTERIOR ALTERATIONS DUE TO INCREASE IN SIZE OF EXISTING ELEVATOR & NEW FIXTURES IN BATHROOM - MALTON ISLAMIC CENTRE,ALTERATION TO EXISTING BLDG,PUBLIC,CHURCH,,,,35000,,N,L4V 1X6,,5,40w,43.70742813,-79.63121199,1558051200000,2019-09-13,1696377600000,43.70742813299219,-79.63121199376027
6441,FIRE 19-6727,COMPLETED -ALL INSP SIGNED OFF,285 NORTH SERVICE RD,,FIRE ALARM SYSTEM UPGRADING -  NEW SMOKE DETECTORS IN ELEVATOR LOBBIES,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,35000,,N,L5A 1A8,,7,14,43.5755944,-79.59334551,1559260800000,2019-09-16,1575936000000,43.57559440149772,-79.59334550568848
6450,BP 3BLD 19-7923,COMPLETED -ALL INSP SIGNED OFF,20 ELIZABETH ST N,,PARKING GARAGE REPAIRS TO CONCRETE & RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,165000,,N,L5G 2Z1,,1,08,43.55398936,-79.58639505,1566777600000,2019-09-16,1615507200000,43.55398936259215,-79.58639504541104
6469,BP 3ALT 19-7510,COMPLETED -ALL INSP SIGNED OFF,2599 SPEAKMAN DR,GROUND FLOOR,INTERIOR ALTERATIONS - SUSPENDED CEILING REPLACEMENT  UPGRADE TO BARRIER FREE WASHROOM - LANDLORD WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,242000,,N,L5K 1B1,,2,18,43.5147365,-79.66513251,1564099200000,2019-09-17,1582761600000,43.51473649924639,-79.66513250994234
6482,BP 3ALT 19-7699,COMPLETED -ALL INSP SIGNED OFF,3175 AIRWAY DR,,NEW REAR DRIVE-IN DOOR & RAMP WITH SPRINKLER ALTERATIONS DUE TO THE DOOR OPENING  INFILL EXISTING OVERHEAD DOOR - CAMINO MODULAR SYSTEMS INC,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,72000,,N,L4V 1C2,,5,40w,43.69584722,-79.62356901,1565308800000,2019-09-17,1572566400000,43.69584722434365,-79.6235690050692
6688,BP 9ALT 19-7789,COMPLETED -ALL INSP SIGNED OFF,4192 HICKORY DR,,REVISION TO 17-8042-ADD ELEVATOR RELOCATE 2ND FURNACE ROOM KITCHEN PARTITIONS GARAGE S.O.G TO STRUCTURAL SLAB REVISED FLOOR SYSTEM&TRUSSES,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,310000,,N,L4W 1L2,,3,27,43.62452972,-79.60986344,1565827200000,2019-10-04,1693872000000,43.624529723788015,-79.60986343957552
6704,BP 3ALT 19-8290,ISSUED PERMIT,3510 DERRY RD E,,REVISION TO PERMIT # 19-6651 - BULKHEAD HEIGHT  DOOR WIDENING   NEW SLAB IN GARBAGE ROOM - MCDONALD'S,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,34000,,N,L4T 3V7,,5,40e,43.71359588,-79.63072349,1569196800000,2019-10-07,,43.71359588092287,-79.63072349328671
6708,BP 3ALT 19-7715,COMPLETED -ALL INSP SIGNED OFF,5935 AIRPORT RD,,INT ALTS - ALTERATION TO STAIR  NEW FIRE RATED DOOR & PARTITION IN CORRIDOR TO MAINTAIN ELEVATOR LOBBY FIRE SEPARATIONS INTEGRITY,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,50000,,N,L4V 1W5,,5,33,43.68793155,-79.61056146,1565308800000,2019-10-08,1774483200000,43.68793155372497,-79.61056145741733
