OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
32443,BP 3ALT 25-10914,ISSUED PERMIT,5700 TERRY FOX WAY,,"INTERIOR ALTERATION - NEW BAR IN 2ND FLOOR  PRO SHOP RENO & NEW (3) RTU  (1) MUA  EXTERIOR RAMP REPAIR - ""BRAE BEN GOLF COURSE""",ALTERATION TO EXISTING BLDG,PUBLIC,PUBLIC - OTHER,,253,2,482699,,N,L5V 2W2,,6,38e,43.59891779,-79.69591933,1763424000000,2026-01-19,,43.59891779449293,-79.69591933248944
32532,BP 3NEW 25-9986,ISSUED PERMIT,7400 EAST DANBRO CRES,,NEW EXTERIOR COVERED BARRIER-FREE RAMP - CHEP CANADA CORP.,ADDITION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,62.15,,48750,,N,L5N 8C6,,9,54w,43.60725534,-79.78007887,1758585600000,2026-01-26,,43.60725534083787,-79.7800788742351
32677,BP 3ALT 24-5600,ISSUED PERMIT,6755 INVADER CRES,,INTERIOR & EXTERIOR (STAIR & RAMP) ALTERATIONS - BACKERHAUS VIET LTD,ALTERATION TO EXISTING BLDG,INDUSTRIAL,INDUSTRIAL - OTHER,,2322,,3248478,,N,L5T 2B7,,5,42w,43.66191297,-79.67789631,1734566400000,2026-02-09,,43.66191296578123,-79.67789631460728
32749,BP 3NEW 25-10837,ISSUED PERMIT,1755 ARGENTIA RD,,REVISION TO PERMIT 24-5568 - INTERIOR & EXTERIOR ALTERATIONS INCLUDING NEW COVERED EXTERIOR RAMP & REMOVE (2) MEZZANINES,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,454,,391950,,N,L5N 1V2,,11,45w,43.60582928,-79.73475917,1762905600000,2026-02-17,,43.60582927956881,-79.73475916912193
33005,FIRE 26-863,ISSUED PERMIT,2425 MATHESON BLVD E,,FIRE ALARM SYSTEM UPGRADE ( ELEVATOR MODERNIZATION ),OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,8,103610,,N,L4W 5K4,,5,34w,43.65687205,-79.60352806,1773273600000,2026-03-16,,43.6568720493109,-79.60352805683222
33091,FIRE 26-949,ISSUED PERMIT,350 BURNHAMTHORPE RD W,,FIRE ALARM SYSTEM UPGRADE ( ELEVATOR MODERNIZATION ),OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,103610,,N,L5B 3J1,,7,22,43.58531269,-79.64323372,1773792000000,2026-03-24,,43.585312686061016,-79.6432337150337
33124,FIRE 26-977,ISSUED PERMIT,5255 ORBITOR DR,,FIRE ALARM SYSTEM UPGRADE (ELEVATOR MONDERNIZATION),OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,103610,,N,L4W 5M6,,5,34e,43.66043735,-79.60532902,1774224000000,2026-03-26,,43.66043734930541,-79.60532901665566
33472,BP 3ALT 26-1088,ISSUED PERMIT,1480 CHRISEDEN DR,,INTERIOR ALTERATION TO ADD ELEVATOR & NEW UNIVERSAL WASHROOM - TECUMSEH P.S.,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - ELEMENTARY,,150,,343050,,N,L5H 1V4,,2,09,43.54668689,-79.61364355,1774828800000,2026-05-01,,43.54668688946703,-79.61364355141532
33480,BP 3NEW 25-9235,ISSUED PERMIT,2444 HURONTARIO ST,,NEW EXTERIOR BARRIER - FREE RAMP,OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,48750,,N,L5B 2V1,,7,15,43.57674311,-79.61228922,1754006400000,2026-05-04,,43.57674310828813,-79.6122892207256
33539,BP 3ALT 26-1156,ISSUED PERMIT,3675 SAWMILL VALLEY DR,,INTERIOR ALTERATIONS TO ACCOMODATE NEW ACCESSIBLE PLATFORM LIFT - ST MARK ELEMENTARY SCHOOL,ALTERATION TO EXISTING BLDG,PUBLIC,SCHOOL - ELEMENTARY,,8.4,,19211,,N,L5L 2Z5,,8,31,43.55365548,-79.68089042,1775520000000,2026-05-08,,43.553655481035655,-79.68089042102159
