OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
17603,BP 9ALT 22-2136,COMPLETED -ALL INSP SIGNED OFF,1497 SUNNYCOVE DR,,PARTIAL ROOF REPLACEMENT  INSTALL HANDRAIL FOR FRONT PORCH,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,131000,,N,L4X 1B4,,1,12,43.60175067,-79.56663981,1653523200000,2022-08-03,1683590400000,43.601750667054446,-79.56663981432744
17785,BP 3ALT 22-3405,COMPLETED -ALL INSP SIGNED OFF,66 HIGH ST E,,CONCRETE REPAIRS TO UNDERGROUND PARKING GARAGE AND RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,85000,,N,L5G 1K2,,1,08,43.55503024,-79.5844785,1660521600000,2022-08-17,1677628800000,43.55503024199207,-79.58447849946833
17932,BP 9ALT 22-3520,COMPLETED -ALL INSP SIGNED OFF,46 BEN MACHREE DR,,REVISION TO PERMIT 21-5106 - MINOR STRUCTURAL LAYOUT CHANGES IN BASEMENT  REMOVE ELEVATOR ACCESS,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,17000,,N,L5H 2S3,,1,08,43.54062507,-79.59220819,1660867200000,2022-09-01,1743379200000,43.5406250708698,-79.59220818507507
18013,BP 9ALT 22-3065,COMPLETED -ALL INSP SIGNED OFF,1815 GREENVIEW CRT,,INSTALL (1) NEW ACCESSIBILITY ELEVATOR WITHIN EXISTING SFD,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,23000,,N,L5L 3W1,,8,31,43.55647132,-79.68221915,1658707200000,2022-09-09,1762128000000,43.55647131838607,-79.68221915383522
18153,BP 3ALT 22-3511,COMPLETED -ALL INSP SIGNED OFF,2345 CONFEDERATION PKY,,REPAIR TO PARKING GARAGE AND RETAINING WALL  INSTALL HANDRAIL,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,421000,,N,L5B 2H3,,7,15,43.57350926,-79.61224485,1660867200000,2022-09-20,1697673600000,43.57350925545119,-79.6122448527334
18155,BP 9ALT 22-3066,ISSUED PERMIT,4834 HURON HEIGHTS DR,,INSTALL (1) NEW ACCESSIBILITY ELEVATOR WITHIN EXISTING SFD,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,23000,,N,L4Z 4H8,,4,28,43.60937431,-79.6445421,1658707200000,2022-09-21,,43.60937431301239,-79.64454210226523
18196,FIRE 22-3176,COMPLETED -ALL INSP SIGNED OFF,15 FAIRVIEW RD E,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR EMERGENCY RECALL OPERATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L5A 4C6,,4,21,43.58852305,-79.62710718,1659052800000,2022-09-23,1718064000000,43.588523052633285,-79.62710718123405
18273,FIRE 22-3179,COMPLETED -ALL INSP SIGNED OFF,1022 GREAVES AVE,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR  EMERGENCY RECALL OPERATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L5E 3J4,,1,06,43.57183217,-79.5653331,1659052800000,2022-09-28,1718323200000,43.571832171356775,-79.56533310085563
18334,FIRE 22-3180,COMPLETED -ALL INSP SIGNED OFF,3020 QUEEN FREDERICA DR,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR  EMERGENCY RECALL OPERATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L4Y 2Z8,,3,20,43.60698505,-79.58754836,1659052800000,2022-10-06,1727913600000,43.606985045526294,-79.58754835783256
18350,FIRE 22-3178,COMPLETED -ALL INSP SIGNED OFF,30 HANSON RD,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR  EMERGENCY RECALL OPERATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,39000,,N,L5B 3A7,,7,22,43.58571659,-79.62558726,1659052800000,2022-10-06,1718236800000,43.58571659253971,-79.62558725840152
18481,BP 9ALT 22-3130,ISSUED PERMIT,1767 GROSVENOR PL,,NEW FRONT ADDITION ABOVE EXISTING ATTACHED GARAGE  NEW REAR SECOND STOREY ADDITION AND NEW ELEVATOR,ADDITION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,98,,195000,,N,L5L 3V8,,8,24,43.55255908,-79.67837155,1658880000000,2022-10-18,,43.552559075127185,-79.67837155135466
18678,SEC UNIT 22-2099 SU,ISSUED PERMIT,3206 FLANAGAN CRES,,RESIDENTIAL SECOND UNIT IN THE BASEMENT WITH BELOW GRADE ENTRANCE RAMP IN THE FRONT YARD,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,SECOND UNIT,135.7,,217000,1,N,L5C 2M5,,6,24,43.55576811,-79.65444294,1653350400000,2022-11-02,,43.5557681063355,-79.65444293504426
18732,BP 9ALT 21-9976,COMPLETED -ALL INSP SIGNED OFF,2179 ROBIN DR,,EXTERIOR ALTERATIONS - ADDITION OF ELEVATOR IN REAR YARD,ADDITION AND ALTERATION,RESIDENTIAL,DETACHED DWELLING,,,,140000,,N,L5K 2L5,,8,17,43.53133288,-79.64882354,1639526400000,2022-11-07,1709683200000,43.53133287886871,-79.64882353669677
18942,BP 9ALT 22-4571,COMPLETED -ALL INSP SIGNED OFF,562 CHANTENAY DR,,NEW ELEVATOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,SEMI-DETACHED DWELLING,,,,23000,,N,L5A 1G2,,7,14,43.58249614,-79.5904826,1667174400000,2022-11-22,1750377600000,43.58249614088098,-79.59048259650137
18973,BP 9ALT 22-4266,COMPLETED -ALL INSP SIGNED OFF,4252 HICKORY DR,,INTERIOR ALTERATIONS TO INSTALL AN ELEVATOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,23000,,N,L4W 1L2,,3,27,43.62549458,-79.61108109,1665619200000,2022-11-24,1730937600000,43.62549457559698,-79.61108109398405
18985,BP 9ALT 22-4828,COMPLETED -ALL INSP SIGNED OFF,2233 ROSEGATE DR,,ALTERATION WITHIN BASEMENT  GROUND AND SECOND FLOOR OF EXISTING SFD FOR NEW ELEVATOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,42000,,N,L5M 5A6,,11,39e,43.56661525,-79.70362657,1668643200000,2022-11-25,1678665600000,43.56661524918186,-79.70362657030823
19183,BP 3NEW 22-2212,COMPLETED -ALL INSP SIGNED OFF,3455 HAVENWOOD DR,,EXTERIOR BARRIER FREE RAMP & STAIRS,OTHER,RESIDENTIAL,ROW DWELLING,,,,54000,,N,L4X 2M7,,3,19,43.62081179,-79.59342337,1653955200000,2022-12-13,1729468800000,43.62081179399956,-79.59342336775407
19253,BP 3ALT 22-4576,COMPLETED -ALL INSP SIGNED OFF,92 WILLIAM ST,,NEW STAIR AND RAMP FOR EXISTING PORCH IN REAR YARD OF EXISTING BLDG,ADDITION AND ALTERATION,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,38000,,N,L5M 1J5,,11,39e,43.58343464,-79.71870999,1666915200000,2022-12-19,1736380800000,43.58343464227638,-79.71870999410865
19290,FIRE 22-5140,COMPLETED -ALL INSP SIGNED OFF,39 STAVEBANK RD,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR EMERGENCY RECALL OPERATION,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,77000,,N,L5G 4N7,,1,08,43.55375987,-79.58857539,1670889600000,2022-12-22,1685318400000,43.55375986625056,-79.58857539213524
19636,FIRE 23-5582,COMPLETED -ALL INSP SIGNED OFF,1535 LAKESHORE RD E,,FIRE ALARM SYSTEM UPGRADE ( ELEVATOR MODERNIZATION),OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,90000,,N,L5E 3E2,,1,05,43.58914081,-79.54830795,1674086400000,2023-01-27,1706659200000,43.589140805231736,-79.54830795315101
19859,PLUMHOUS 23-5982,COMPLETED -ALL INSP SIGNED OFF,1903 OWLSNEST LANE,,ALTERATIONS WITHIN FIRST FLOOR OF EXISTING SFD  CONVERTING EXISTING CLOSET INTO BARRIER FREE SHOWER,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,23000,,N,L4W 2J1,,3,26,43.6391869,-79.59852582,1676246400000,2023-02-15,1677715200000,43.639186904055414,-79.5985258217244
