OBJECTID,Status,Score,Match_type,Match_addr,Postal,Ref_ID,X,Y,User_fld,Addr_type,ARC_Single,Full_Addre,PC,WARD,PLAN_,LOT,BLG_TYPE,MUNICIPALI,DESCRIPTIO,D_U_,VALUE,FT2,PERMIT_,APPL__TYPE,ISSUED_DAT,M2,BLG_TYPE_F,latitude,longitude
2681,M,100,A,"2777 CASSELS ST, K2B6N6",K2B6N6,108380,359398.528666,5026015.98651,___A59X2,Address,2777 CASSELS ST,2777 CASSELS ST,K2B6N6,Ward 7,40, ,Other,Old Ottawa,Install an elevator to a 2 storey recreational building (Britania yacht club),0,105000,64,1503067,Construction,2015-06-04,5.945792,Autre,45.37196848665731,-75.80294496317522
2970,M,100,A,"625 CHARDONNAY DR, K4A4K7",K4A4K7,84844,385119.126593,5036213.81553,__3AU1A8,Address,625 CHARDONNAY DR,625 CHARDONNAY DR,K4A4K7,Ward 19,4M-1118,85,Single,Cumberland,Construct an accessible ramp (front yard),0,2300,150,1503431,Construction,2015-06-17,13.93545,Unifamiliales,45.46124385909645,-75.47295333572539
3714,M,100,A,"1760 MCMASTER AVE, K1H6R8",K1H6R8,204355,371609.155318,5027755.8137,___A6WGV,Address,1760 MCMASTER AVE,1760 MCMASTER AVE,K1H6R8,Ward 18,760, ,Institutional,Old Ottawa,Construct a barrier free ramp at a school (McMaster Catholic School),0,80000,81,1504243,Construction,2015-07-14,7.525143,Institutionnel,45.386565117758046,-75.6468326656262
3768,M,100,A,"1480 HERON RD, K1V6A5",K1V6A5,76019,371061.557988,5026905.86958,___A6N83,Address,1480 HERON RD,1480 HERON RD,K1V6A5,Ward 18,31,28,Institutional,Old Ottawa,Interior alterations to replace a lift with ramp on the main floor of a 2 storey institutional building (Heron Community Centre),0,51655,807.32,1504310,Construction,2015-07-16,75.00244996,Institutionnel,45.37896964416029,-75.65393893522352
4991,M,100,A,"21 103 ANTARES DR, K2E7T8",K2E7T8,328267,366863.698292,5021804.63395,__1OMNJD,Address,21 103 ANTARES DR,21 103 ANTARES DR,K2E7T8,Ward 9,329, ,Office,Nepean,"Interior alterations to a 2 storey office building (Unit 103, International Union of Elevator Constructors)",0,64500,838,1505656,Construction,2015-09-01,77.852714,Bureau,45.33345417382351,-75.70817460868352
5009,T,100,A,"1915 BANK ST, K1V8A2",K1V8A2,191518,370445.161541,5025746.94017,___A52NA,Address,1915 BANK ST,1915 BANK ST,K1V8A2,Ward 16,M24,300,Office,Old Ottawa,Exterior alterations to remove and replace accessible ramp in a 1 storey office building,0,110000,3249,1505679,Construction,2015-09-01,301.841847,Bureau,45.368600002276615,-75.66196260685624
5329,M,100,A,"2 BEAVERBROOK RD, K2K1L1",K2K1L1,92683,351745.867312,5021167.21593,___0YJOU,Address,2 BEAVERBROOK RD,2 BEAVERBROOK RD,K2K1L1,Ward 4,786, ,Institutional,Kanata,Construct a 2 storey addition for an elevator  (Beaverbrook Community Centre),0,193113.96,421.9,1505985,Construction,2015-09-15,39.1957757,Institutionnel,45.3288928202428,-75.90110076214506
5541,M,100,A,"400 MCARTHUR AVE, K1K1G8",K1K1G8,101817,371400.924149,5032784.48106,___A6WZB,Address,400 MCARTHUR AVE,400 MCARTHUR AVE,K1K1G8,Ward 13,772, ,Mixed,Old Ottawa,Interior alterations to install a handicap ramp in a public corridor of a 2 storey mixed use  building,0,10500,538.19,1506203,Construction,2015-09-22,49.999465570000005,Polyvalent,45.431830818011505,-75.64881217182756
5589,T,100,A,"2025 LANTHIER DR, K4A3V3",K4A3V3,164471,383667.505721,5035773.61296,__37TRH1,Address,2025 LANTHIER DR,2025 LANTHIER DR,K4A3V3,Ward 19, , ,Office,Cumberland,Interior alterations to install an elevator in a 2 storey office building,0,165000,71,1506254,Construction,2015-09-23,6.596113,Bureau,45.45744868954639,-75.4915830560002
5831,T,100,A,"2781 LANCASTER RD, K1B1A7",K1B1A7,181559,374901.475045,5028707.35938,___A6S6H,Address,2781 LANCASTER RD,2781 LANCASTER RD,K1B1A7,Ward 18,M-121, ,Office,Old Ottawa,Inteiror alterations on the 1st floor of a 4 storey office building (Elevator lobby),0,52920,1011.81,1506510,Construction,2015-10-01,94.00018442999999,Bureau,45.3948048967276,-75.60465876777896
