description,blg_type,ward,address,permit_date
"Construct a barrier free ramp at the front of a 3 storey, 6 unit apartment building  (OCSCC No. 894)",Apartment,Ward 13,54 RIDEAU TERR,2013-01-01
Construct a ramp and exterior alterations to a 2 storey community Centre (Old Town Hall),Institutional,Ward 17,61 MAIN ST,2013-01-01
Interior alterations to create an accessible washroom in a 1 storey office building,Office,Ward 18,2650 LANCASTER RD,2013-01-01
"PARTIAL PERMIT ONLY - Footings, foundation and podium slab for Queen Elizabeth Drive (QED) entrance ramp and portion of underground garage - Lansdowne",Institutional,Ward 17,1015 BANK ST,2013-01-01
Interior alterations and construction of a ramp in a 1 storey school (Ecole Roger Saint-Denis),Institutional,Ward 23,186 BARROW CRES,2013-01-01
Repair handrail on the roof top deck of a 3 storey detached dwelling,Single,Ward 13,121 -1 MACKAY ST,2013-01-01
Lift existing detached dwelling and pour new foundation wall and structural alterations to ground floor assembly,Apartment,Ward 12,458 NELSON ST,2013-01-01
Interior alterations to a make a 1 storey arena more accessible,Institutional,Ward 11,2020 OGILVIE RD,2013-01-01
Exterior alterations (new barrier free ramp) to a 16 storey office building (Centennial Tower),Office,Ward 14,200 KENT ST,2013-01-01
Alterations to install a ramp in the garage of a high rise condominium,Apartment,Ward 11,915 ELMSMERE RD,2013-01-01
Interior alterations to make facility accessible (Fred Barrett Arena),Institutional,Ward 22,3280 LEITRIM RD,2013-01-01
Interior alterations to modify existing elevator in a 4 storey office building,Office,Ward 14,66 QUEEN ST,2013-01-01
"Interior alterations in a 2 storey school (Les Petitte Frimousse, addition of a stair platform lift & upgrading of mechanical ventilation)",Institutional,Ward 12,307 MONTGOMERY ST,2013-01-01
"Interior alterations - structural work for new floor at level L3 (northeast wing), numerous floor openings throughout (stairs, elevators, etc.) and general seismic upgrades to an existing 4 storey office building (West Block, Parliament Hill)",Office,Ward 14,111 WELLINGTON ST,2013-01-01
Interior alterations to a 2 storey recreation centre (accessibility renovations to 2 washroom facilities and entrance),Institutional,Ward 17,2451 RIVERSIDE DR,2013-01-01
Interior alterations to a 2 storey medical building including elevator and platform lift installation (Community Health Centre),Office,Ward 15,30 ROSEMOUNT AVE,2013-01-01
Interior alterations to a 1 storey assembly building (Carleton Heights Public School) Construction of an elevator shaft.,Institutional,Ward 16,1660 PRINCE OF WALES DR,2013-01-01
"Construct an addition to create a gymnasium in an assembly building, and addition of an elevator (Les Petits Frimousse)",Institutional,Ward 12,307 MONTGOMERY ST,2013-01-01
Interior/exterior alterations to a 2 storey community Centre ( McNabb Community Centre - accessibility improvements),Institutional,Ward 14,180 PERCY ST,2013-01-01
Exterior alterations on the 1st floor of an 8 storey commercial office building to replace access stairs and rear ramp (TD Bank),Office,Ward 11,1600 JAMES NAISMITH DR,2013-01-01
Interior alterations to the elevator and lobby in a 2 storey  community centre  ( Heron Rd CC),Institutional,Ward 18,1480 HERON RD,2013-01-01
Exterior alterations to construct a ramp and interior alterations in a 1 storey detached dwelling,Single,Ward 18,2386 HEATON AVE,2013-01-01
