description,blg_type,ward,address,permit_date
Install a canopy to the underground parking garage ramp in a 16 storey residential building (CCC 500),Apartment,Ward 18,1705 PLAYFAIR DR,2016-01-01
Interior alterations to a 2 storey detached dwelling including adding an elevator,Single,Ward 1,745 CLEARCREST CRES,2016-01-01
Install an elevator in a 2 storey detached dwelling,Single,Ward 6,31 ELIZA CRES,2017-01-01
Interior alterations to upgrade fire alarm system (for elevator-related functions) in a 17 storey apartment building,Apartment,Ward 17,1455 CLEMENTINE BLVD,2017-01-01
Install an elevator in the garage of a 1 storey detached dwelling,Single,Ward 5,320 LASIANDRA LANE,2017-01-01
Exterior alterations to a 12 storey apartment building (repair parking garage ramp),Apartment,Ward 17,480 METCALFE ST,2017-01-01
Repairs to an existing concrete deck and a temporary ramp to main entrance,Apartment,Ward 14,264 LISGAR ST,2017-01-01
"Interior alterations on the 1st floor, parking garage elevator lobbies, and levels 6-22 of a 24 storey apartment building",Apartment,Ward 14,324 LAURIER AVE W,2017-01-01
Interior alterations on the 2nd floor of a 2 storey rowhouse (wheelchair accessible washroom),Rowhouse,Ward 3,639 VIA CAMPANALE AVE,2017-01-01
Interior/ exterior alterations to a 1 storey detached dwelling (renovate ground floor & lift house),Single,Ward 5,2898 WOODKILTON RD,2018-01-01
"Exterior alterations inclduing new cladding, deck, barrier-free ramp and patio door to a 1 storey auxiliary building",Apartment,Ward 11,897 ELMSMERE RD,2018-01-01
Interior and exterior alterations a 1 storey detached dwelling (exterior wheelchair ramp),Single,Ward 21,1231 POTTER DR,2018-01-01
Repairs to the garage ramp retaining wall of a 12 storey apartment building.,Apartment,Ward 13,248 BRITTANY DR,2018-01-01
Interior alterations in a 1 storey detached dwelling (bathroom & widen doorways),Single,Ward 8,6 FLORAL PL,2018-01-01
Interior alterations to a 2 storey detached dwelling (alter for an elevator hoistway),Single,Ward 13,427 MEADOW PARK PL,2018-01-01
Exterior alterations to construct a barrier free ramp on a 2 storey residential building,Institutional,Ward 12,352 CRETE PL,2018-01-01
Exterior alterations to add ramp and guardrails to the front entrance of a 2 storey rowhouse,Rowhouse,Ward 18,2885 -55 CEDARWOOD DR,2018-01-01
