city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
montreal,7141  rue Sherbrooke Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,,45.45823157670677,-73.63836552416772,yes,building,1,1,0,accessible; handicap,1996-07-09,1996-07-09,1000603596,,"SUR TOUS LES ETAGES, RENDRE ACCESSIBLE POUR HANDICAPES TOUS LES EDIFICESDU CAMPUS, ACCES, RAMPES, PLATE-FORMES ELEVATRICES & TOILETTES.",permit
montreal,7150  boulevard Viau,Saint-Léonard,,45.57427013583355,-73.58330095479893,yes,building,1,1,0,lift,2025-06-20,2025-06-20,3001847177,,Travaux de réfection de l'appentis de l'ascenseur et réparation de la marquise en cour avant.,permit
montreal,7150  rue Marie-Victorin,Rivière-des-Prairies - Pointe-aux-Trembles,,45.61705007839554,-73.60358986669486,yes,building,1,1,0,lift,2004-10-04,2004-10-04,1000611004,,"MISE AUX NORMES, GICLER TOUT LE BÂTIMENT, NOUVELLES CAGES D'ESCALIER ET NOUVEL ASCENSEUR, NOUVEAU GROUPE ÉLECTROGÈNE EXTÉRIEUR À L'ARRIÈRE.",permit
montreal,7162  19e Avenue,Villeray - Saint-Michel - Parc-Extension,,45.56406630557882,-73.59296718150735,yes,building,1,1,0,ramp,2006-04-28,2006-04-28,3000012639,,"EN COUR AVANT, REMPLACER LES SAILLIES (BALCONS, PLANCHERS, RAMPS ET GARDES-CORPS)",permit
montreal,717  12e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.64146610474613,-73.49324617000211,yes,building,1,1,0,accessible,2019-06-14,2019-06-14,3000835101,,A L'ARRIÈRE: INSTALLATION D'UNE PISCINE HORS TERRE D'UN DIAMÈTRE DE 3.65M ACCESSIBLE PAR UNE ECHELLE SECURITAIRE VENDU DANS LE COMMERCE.,permit
montreal,7171  rue de Bordeaux,Villeray - Saint-Michel - Parc-Extension,,45.55004699614755,-73.60568390975448,yes,building,1,1,0,accessible,2025-08-15,2025-08-15,3001862993,,"AU SOUS-SOL, EXCAVER EN SOUS-OEUVRE POUR PROCÉDER À LA RÉFECTION DES MURS DE FONDATION ET DU SYSTÈME DE DRAINAGE DES EAUX. L'AMÉNAGEMENT INTÉRIEUR EXISTANT SERA CONSERVÉ, À L'EXCEPTION DE L'ESPACE DE RANGEMENT ACCESSIBLE PAR LA COUR ANGLAISE (PALIER MIN. 1.5 M X 1.5 M) À L'ARRIÈRE , TEL QUE DOCUMENTS SOUMIS.",permit
montreal,7172  rue De Normanville,Villeray - Saint-Michel - Parc-Extension,,45.543942616431835,-73.61145888624661,yes,building,1,1,0,lift,2017-08-29,2017-08-29,3000661855,,"EN FACADE AU RDC, INSTALLER UNE PLATE-FORME ÉLÉVATRICE + RÉAMÉNAGEMENT DE LA SALLE DE BAIN",permit
montreal,7176  rue D'Aragon,Le Sud-Ouest,,45.4468084277699,-73.59499089820372,yes,building,1,1,0,accessible,2021-08-17,2021-08-17,3001423083,,Aménagement de deux cases de stationnement en cour arrière accessibles par la ruelle.,permit
montreal,718  rue Godin,Verdun,,45.447045040164824,-73.57450331303014,yes,building,1,1,0,lift,2010-10-25,2010-10-25,3000102010,,Installation d'une plate-forme élévatrice devant la maison.,permit
montreal,719  rue Beaudoin,Rivière-des-Prairies - Pointe-aux-Trembles,,45.68608372625538,-73.49146606425013,yes,building,1,1,0,accessible,2021-01-18,2021-01-18,3001248933,,"A L'ARRIÈRE: INSTALLATION D'UNE PISICNE HORS-TERRE D'UN DIAMÈTRE DE 3,65M D'UNE HAUTEUR MINIMAL DE 1,2M, ACCESSIBLE PAR UNE TERRASSE ATTACHÉ A LA PROPRIÉTÉ.",permit
