_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
,98 023474 BLD,00,Building Historical data - Converted,Unknown,Unknown,40,ALEXANDER,ST, ,M4Y,7730178,S2710,1998-11-02 00:00:00.000,1998-11-05 00:00:00.000,2002-01-02 00:00:00.000,Closed,"MAKE REPAIR TO UNDERGROUND PARKING GARAGE ON ROOF SLAB, ROOF SOFFIT AND RAMP. EDC SIZE:  241.07 SQUARE METRES",,,,,105000,0,0,0,0,0,0,0,0,,40 ALEXANDER ST
,98 023960 BLD,00,Residential Building Permit,Unknown,Unknown,14,CALDOW,RD, ,M5N,779128,N1606,1998-11-12 00:00:00.000,1998-12-09 00:00:00.000,2002-11-08 00:00:00.000,Closed,"CONSTRUCT 2 STOREY DETACHED HOUSE WITH INTEGRAL GARAGE. HOLD FOR SURVEY, RAMP, ONHWP, ETC... SEE C OF A DEC.   HOLD FOR FINAL & BINDING FEE $ 3491.16",,,1,,170000,0,0,0,0,0,0,0,0,,14 CALDOW RD
,98 024010 BLD,00,Building Additions/Alterations,Unknown,Unknown,888,YONGE,ST, ,M4W,8680071,S2703,1998-11-13 00:00:00.000,1999-04-19 00:00:00.000,2004-06-16 00:00:00.000,Closed,CONSTRUCT HANDICAPPED RAMP ON SOUTH ELEVATION.  ALSO CONSTRUCT BARRIER FREE LIFT ON GROUND FLOOR. EDC DESIGNATED:  HISTORICAL EDC,,,0,,25000,0,0,0,0,0,0,0,0,,888 YONGE ST
,98 024280 BLD,00,Building Historical data - Converted,Unknown,Unknown,954,KING,ST,W,M6K,7553558,S1908,1998-11-23 00:00:00.000,1999-06-04 00:00:00.000,2001-05-25 00:00:00.000,Closed,"CONSTRUCT 6 STOREY AND 3 STOREY APARTMENT BUILDING. HOLD FOR SURVEY, RAMP, ETC... SEE STATEMENT OF UNDERTAKING. FEE $20000.00",,,130,,11235645,0,0,0,0,0,0,0,0,,954 KING ST W
,98 024595 BLD,00,Residential Building Permit,Unknown,Unknown,54,AVA,RD, ,M5P,14629999,S2103,1998-12-01 00:00:00.000,1999-04-08 00:00:00.000,2008-10-16 00:00:00.000,Closed,"SEVER AND CONSTRUCT A PAIR OF 2 STOREY SEMI-DETACHEDHOUSE. SEE C OF A DEC.  FINAL & BINDING. HOLD FOR SURVEY, RAMP, O.N.H.W.P., ETC... FEE $4800.00",,,2,,350000,0,0,0,0,0,0,0,0,,54 AVA RD
,98 024601 BLD,00,Building Additions/Alterations,Unknown,Unknown,836,ST CLAIR,AVE,W,M6C,14068380,S2107,1998-12-01 00:00:00.000,1999-02-05 00:00:00.000,2004-07-09 00:00:00.000,Closed,CONSTRUCT ELEVATOR SHAFT. FEE $ 80.00,,,0,,30000,0,0,0,0,0,0,0,0,,836 ST CLAIR AVE W
,98 024790 BLD,00,Building Historical data - Converted,Unknown,Unknown,123,EGLINTON,AVE,E,M4P,800603,S2204,1998-12-04 00:00:00.000,2000-02-21 00:00:00.000,2002-04-16 00:00:00.000,Closed,"BUILD NEW 18 STOREY APARTMENT BUILDING WITH UNDERGROUND GARAGE HOLD FOR SURVEY, CURB CUT, RAMP APPROVAL ""HISTORICAL"" SEE LUC (W22)/SP    ATT: C.DICARO",,,183,,18000000,0,0,0,0,0,0,0,0,,123 EGLINTON AVE E
,98 025278 PLB,00,Plumbing(PS),Unknown,Unknown,455,DOVERCOURT,RD, ,M6H,7586426,S1902,1998-12-18 00:00:00.000,1999-03-17 00:00:00.000,2013-07-02 00:00:00.000,Cancelled,"INSTALL ONE MANHOLE TO CONNECT INTERIOR WEEPING TILE, ONE ELEVATOR SUMP MANHOLE (EXTERIOR).  ALSO RELOCATE PORTION OF STORM DRAIN 6"" & 4""  ALSO INSTALL FIXTURES:  BSMT:  3 V.F.D., 1 DRINKING FTN.; 1ST FL: 1 DRINKING FTN.  ALSO REPLACE 7 ROOF DRAINS    SEE 418594",,,,,,0,0,0,0,0,0,0,0,,455 DOVERCOURT RD
,98 083630 BLD,00,Small Residential Projects,SFD - Detached,Other(SR),57,MITCHAM,DR, ,M8W,7640917,W0601,1998-07-13 00:00:00.000,1998-07-17 00:00:00.000,2015-11-18 00:00:00.000,Cancelled,RAMP & STAIRS (REVISION TO B86934),,,,,,0,0,0,0,0,0,0,0,,57 MITCHAM DR
,98 084174 BLD,00,Building Historical data - Converted,College/Trade/Tech School/Training Cent.,Addition to Existing Building,6484,FINCH,AVE,W,   ,1001368,W0103,1998-03-19 00:00:00.000,1998-05-05 00:00:00.000,2002-05-21 00:00:00.000,Closed,ADDITION TO CHURCH (ELEVATOR & WASHROOM),,,,,,0,0,0,0,0,0,0,0,,6484 FINCH AVE W
,98 088313 BLD,00,Building Historical data - Converted,Commercial,Alteration to Existing Building,1101,FINCH,AVE,W,M3J,515970,N0807,1998-03-17 00:00:00.000,1998-06-02 00:00:00.000,2005-04-02 00:00:00.000,Closed,HANDICAPPED WASHROOM,,,,,,0,0,0,0,0,0,0,0,,1101 FINCH AVE W
,98 089310 BLD,00,Building Historical data - Converted,Apartment Building,Addition to Existing Building,3680,KEELE,ST, ,M3J,9278912,N0806,1998-09-11 00:00:00.000,1998-11-16 00:00:00.000,2005-03-30 00:00:00.000,Closed,WHEEL CHAIR RAMP,,,,,,0,0,0,0,0,0,0,0,,3680 KEELE ST
,98 091371 BLD,00,Building Historical data - Converted,SFD - Detached,Addition to Existing Building,317,PATRICIA,AVE, ,M2R,549946,N2301,1998-10-30 00:00:00.000,1998-11-26 00:00:00.000,2005-04-02 00:00:00.000,Closed,WHEELCHAIR ACCESS LIFT,,,,,,0,0,0,0,0,0,0,0,,317 PATRICIA AVE
,98 091373 BLD,00,Building Historical data - Converted,SFD - Detached,Addition to Existing Building,44,CUMMER,AVE, ,M2M,7323930,N2401,1998-11-02 00:00:00.000,1998-11-23 00:00:00.000,2004-04-26 00:00:00.000,Cancelled,RAMP TO HOUSE,,,,,,0,0,0,0,0,0,0,0,,44 CUMMER AVE
,98 200471 BLD,01,Non-Residential Building Permit,Retail Store,Addition to Existing Building,3441-3595,LAWRENCE,AVE,E,M1H,,E3810,2002-03-11 00:00:00.000,2002-03-18 00:00:00.000,2002-07-31 00:00:00.000,Closed,REVISE TO GLASS ENCLOSED BRIDGE BETWEEN ELEVATOR AND 2ND FLOOR OFFICE OVER MALL  -  COM. RTL./ZELLERS,,,,,0,0,0,0,0,0,0,0,0,,3441-3595 LAWRENCE AVE E
,98 200573 000,00,Residential Building Permit,Residential Porches,Addition to Existing Building,22,IONDALE,PL, ,M1K,2911637,E3708,1998-05-22 00:00:00.000,1998-05-29 00:00:00.000,2002-05-02 00:00:00.000,Closed,WHEELCHAIR RAMP,,,,,3000,0,0,0,0,0,0,0,0,,22 IONDALE PL
,98 200733 000,00,Non-Residential Building Permit,Industrial Manufacturing Plant,Alteration to Existing Building,2,MANSE,RD, ,M1E,2219545,E4410,1998-08-11 00:00:00.000,1998-09-03 00:00:00.000,2004-03-02 00:00:00.000,Closed,ELEVATOR SHAFT OUTSIDE,,,,,50000,0,0,0,0,0,0,0,0,,2 MANSE RD
