address,parsed_house_number,parsed_street_name,neighbourhood,ward,keywords,total_permits,n_building_permits,n_development_permits,building_row_ids,development_file_numbers,sample_description
17 CENTENNIAL PARK RD,,,,,ramp,1,1,0,15 230217 BLD,,Permit to recostruct/repair damaged parking ramp wall.
19 HABITANT DR,,,,,lift; wheelchair,1,1,0,13 227396 BLD,,Proposal to extend the existing front porch across the front of the house and to add an exterior wheelchair lift to existing 1 storey sfd-semi detached
19 TOPHAM RD,,,,,lift,1,1,0,24 124041 BLD,,"Proposal to demolish existing detached dwelling and construct a new two storey detached dwelling with an integral garage with a car lift, front porch, rear deck and a finished basement."
21 VAUGHAN RD,,,,,ramp,1,1,0,12 256516 BLD,,Proposal to repair garage roof slab and ramp of existing apartment building.
22 OAKMOUNT RD,,,,,ramp,1,1,0,19 191610 BLD,,"Ramp removal, construction of new concrete ramp,, concrete slab alterations/repairs"
28 HARRISON GARDEN BLVD,,,,,ramp,1,1,0,21 188434 BLD,,Proposal to relocate garage door at the garage ramp of existing apartment building.
32 CURZON ST,,,,,ramp,1,1,0,25 209584 BLD,,Proposal for garage ramp repairs
34 LOTHIAN AVE,,,,,lift,1,1,0,13 179961 BLD,,To construct new two storey single family detached dwelling with integral garage (With car lift pit in basement).
35 EMPRESS AVE,,,,,ramp,1,1,0,22 135770 BLD,,Proposal for localized concrete and waterproofing repairs to entrance and exit ramp.
38 BUCKINGHAM AVE,,,,,lift,1,1,0,22 239253 BLD,,"Proposal to demolish existing dwelling to construct new 2 storey Single Family Dwelling with finished walkout basement, integral garage with car lift, front porch, rear deck and second storey balcony"
44 ST JOSEPH ST,,,,,ramp,1,1,0,19 187182 BLD,,"Proposed garage concrete slab repairs. Also includes waterproofing repairs, and removal and replacement of ramp topping and heating cables."
697 B DANFORTH RD,,,,,accessible; wheelchair,1,1,0,17 100264 BLD,,"Enclose front porch to accommodate wheelchair storage, and to permit a widened accessible walkway adjacent to the driveway"
8 CORINTH GDNS,,,,,wheelchair,1,1,0,14 146150 BLD,,install a new door at the existing window location for wheelchair access
8 MONDEO DR,,,,,ramp,1,1,0,18 153289 BLD,,Parking Garage Ramp Repairs 8 & 18 Mondeo Drive
8 TELEGRAM MEWS,,,,,ramp,1,1,0,26 111189 BLD,,Restoration work - concrete repairs at P1 ramp including waterroofing membrane repairs.
8 WINDMILL RD,,,,,ramp,1,1,0,21 233547 BLD,,construct access ramp at front
9 ASHDEAN DR,,,,,ramp,1,1,0,07 204431 BLD,,Rear one storey addition plus deck and ramp
