_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
106933,26 137582 BLD,00,Small Residential Projects,SFD - Detached,Other(SR),82,DUNN,AVE, ,M6K,8168586,S0437,2026-04-01,2026-04-21,,Permit Issued,Proposal for alterations to install a wheelchair lift at the front porch.,Sfd - Detached,Sfd - Detached,0,0,40000,0,0,0,0,0,0,0,0,0.057308756,82 DUNN AVE
114216,17 179234 BLD,01,Building Additions/Alterations,Medical/Dental Office,Interior Alterations,1436,ROYAL YORK,RD, ,M9P,1029711,W0223,2017-07-06,2017-07-20,,Revision Issued,Revision 01:  to extend the route of the elevator to start from the basement and remove crawl spaceProposal to remove existing wheelchair lift and replace with elevator ,Medical Office,Medical Office,0,0,70000.00,0,0,0,0,0,0,0,0,0.057308756,1436 ROYAL YORK RD
116175,25 190603 BLD,00,Building Additions/Alterations,Medical/Dental Office,Interior Alterations,844,BATHURST,ST, ,M5R,9523577,S1125,2025-07-09,2025-08-20,,Inspection,Interior alteration to existing medical clinic. Dividing existing ground floor medical clinic space to 2 units. Adding a wheelchair lift at the front of the building. ,Medical Office,Medical Office,0,0,"250,000",0,0,0,0,0,0,448.07,0,0.057308756,844 BATHURST ST
126348,19 254029 BLD,00,Small Residential Projects,SFD - Detached,Interior Alterations,113,SEMINOLE,AVE, ,M1J,384339,E2135,2019-11-26,2021-03-24,,Inspection,Proposal to cut side door enterance for wheelchair accessibility ,Sfd,Sfd,0,0,8000,0,0,0,0,0,0,0,0,0.057308756,113 SEMINOLE AVE
131397,14 209231 PLB,00,Plumbing(PS),Apartment Building,Building Permit Related(PS),101,KENDLETON,DR, ,M9V,14230931,W0123,2014-08-20,2014-09-08,,Inspection,"Plumbing  - Interior alteration to convert storage room to B/F washroom, provide electric wheelchair charging station in auditorium, upgrade kitchen to B/F kitchen.",Apartment ,Apartment ,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,101 KENDLETON DR
140758,21 229934 HVA,01,Mechanical(MS),SFD - Semi-Detached,Building Permit Related(MS),91,SOMERSET,AVE, ,M6H,868938,S0928,2023-02-16,2023-03-10,,Revision Issued,"REVISION - HVAC split system is proposed to be substitued with hybrid system, where all levels have radiant heated floors with supplementary wall-mounted heat pumps.HVAC - Interior renovation focused on wheelchair accessibility: addition of elevator and access vestibule atrear; enlarged deck",Sfd,Sfd,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,91 SOMERSET AVE
142662,17 179234 BLD,00,Building Additions/Alterations,Medical/Dental Office,Interior Alterations,1436,ROYAL YORK,RD, ,M9P,1029711,W0223,2017-06-13,2017-06-22,,Inspection,Proposal to remove existing wheelchair lift and replace with elevator ,Medical Office,Medical Office,0,0,700000.00,0,0,0,0,0,0,10.9,0,0.057308756,1436 ROYAL YORK RD
144727,16 227154 PLB,00,Plumbing(PS),SFD - Detached,Building Permit Related(PS),860,ROYAL YORK,RD, ,M8Y,10144837,W0325,2016-09-22,2016-09-30,,Inspection,Plumbing - Application to alter the existing washroom in the besetment of the existing house for wheelchair access.,Sfd,Washroom,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,860 ROYAL YORK RD
154108,14 222567 BLD,00,Small Residential Projects,SFD - Detached,Porch,24,SHANGARRY,DR, ,M1R,384838,E2131,2014-09-16,2014-11-21,,Inspection,Proposal to enlarge front porch including construction of structural slab for wheelchair lift.,Sfd-Detahed,Sfd-Detached,,,4900,0,0,0,0,0,0,0,0,0.057308756,24 SHANGARRY DR
154982,14 209231 HVA,01,Mechanical(MS),Apartment Building,Building Permit Related(MS),101,KENDLETON,DR, ,M9V,14230931,W0123,2016-05-31,2016-06-29,,Revision Issued,"Revision 01: Revision as per the clouded areas identified in drawings. See attached cover letter for specifics.HVAC - Interior alteration to convert storage room to B/F washroom, provide electric wheelchair charging station in auditorium, upgrade kitchen to B/F kitchen.",Apartment ,Apartment ,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,101 KENDLETON DR
163722,25 249632 HVA,00,Mechanical(MS),College/Trade/Tech School/Training Cent.,Building Permit Related(MS),791,ST CLAIR,AVE,W,M6C,9086299,S1234,2025-11-05,2026-01-30,,Permit Issued,"HVAC - Proposal for interior alterations including east wing computer lab, classroom improvement, doors and WC's for wheelchair accessability, window replacement and heatpump installation. ",Trainning School,Trainning School,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.057308756,791 ST CLAIR AVE W
166769,25 249632 BLD,00,Building Additions/Alterations,College/Trade/Tech School/Training Cent.,Interior Alterations,791,ST CLAIR,AVE,W,M6C,9086299,S1234,2025-11-05,2026-01-30,,Inspection,"Proposal for interior alterations including east wing computer lab, classroom improvement, doors and WC's for wheelchair accessability, window replacement and heatpump installation. ",Trainning School,Trainning School,0,0,2000000,0,0,0,0,0,0,776.6,0,0.057308756,791 ST CLAIR AVE W
169760,18 112871 BLD,00,Small Residential Projects,SFD - Detached,Multiple Projects,15,TWENTY FOURTH,ST, ,M8V,7635641,W0334,2018-02-02,2018-03-01,,Permit Issued,-PROPOSED FRONT ADDITION & FRONT PORCH w/ WHEELCHAIR LIFT + INTERIOR ALTERATIONS,Sfd,Sfd,0,0,100000,0,0,16.97,0,0,0,0,0,0.057308756,15 TWENTY FOURTH ST
