_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
21064,17 122175 BLD,01,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,111,LAWTON,BLVD, ,M4V,10411176,S1232,2017-07-28,2017-08-28,2017-12-13,Closed,Revision 01: Revised floor plans and details as per bubbled drawingsProposal for roof slab repairs and ramp replacement in the parking garage for the existing apartment building.  Scope of work also includes a new mechanical opening (Owner to apply for separate mechanical permit),Apartment Building,Apartmetn Building,,,0,0,0,0,0,0,0,0,0,0.057308756,111 LAWTON BLVD
21097,21 178336 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2645,BLOOR,ST,W,M8X,988225,W0327,2021-06-30,2021-07-20,2022-02-02,Closed,Proposal for ramp replacement for existing apartment building ,Apartment,Apartment,,,300000,0,0,0,0,0,0,0,0,0.057308756,2645 BLOOR ST W
21311,18 108740 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,1131,STEELES,AVE,W,M2R,565270,N0622,2018-01-23,2018-02-20,2018-07-18,Closed,Proposal to repair existing ramp to parking garage,Apartment Building,Same,,,130000,0,0,0,0,0,0,0,0,0.057308756,1131 STEELES AVE W
21385,18 102234 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2575,DANFORTH,AVE, ,M4C,8211499,S1933,2018-01-08,2018-01-25,2018-12-13,Closed,Proposal for concrete repairs to the garage structure at Main Square Apartment Complex including ramp renewal and localized concrete repairs. ,Apartment,Apartment,,,500000,0,0,0,0,0,0,0,0,0.057308756,2575 DANFORTH AVE
21749,18 128762 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,100,CANYON,AVE, ,M3H,7118663,N0624,2018-03-13,2018-04-05,2021-11-18,Closed,Proposal to parking garage structural repairs including ramp renewal and localized concrete repairs (YCC 167),Apartment,Apartment,,,314000,0,0,0,0,0,0,0,0,0.057308756,100 CANYON AVE
22588,21 133266 BLD,00,Building Additions/Alterations,Parking Garage,Garage Repair/Reconstruction,1465,LAWRENCE,AVE,W,M6L,9796734,W0529,2021-03-29,2021-05-05,2023-03-02,Closed,Parking garage and garage entrance/exit ramp reconstruction and concrete repairs,Apartment Builidng,Apartment Builidng,,,991590,0,0,0,0,0,0,0,0,0.057308756,1465 LAWRENCE AVE W
22839,21 173523 BLD,00,Building Additions/Alterations,Apartment Building,Interior Alterations,75,TANDRIDGE,CRES, ,M9W,13496246,W0131,2021-06-21,2022-03-07,2022-11-18,Closed, Proposal for renovations to the existing office by means of adding an office with workstations and Construct Exterior Ramp,Residential Apartment Building,Residential Apartment Building,0,0,600000,0,0,0,0,0,0,143,0,0.057308756,75 TANDRIDGE CRES
23088,16 203756 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,44,JACKES,AVE, ,M4T,825332,S1238,2016-08-09,2016-08-10,2017-02-14,Closed,Proposal to perform localized concrete repair to the garage entrance ramp at the northeast corner of the existing apartment building.  Convenience address is 33 Rosehill Ave.,Apartment Building,Apartment Buildingh,,,255000.00,0,0,0,0,0,0,0,0,0.057308756,44 JACKES AVE
23936,16 164111 BLD,00,Building Additions/Alterations,Parking Garage,Addition(s) ,50,DRIFTWOOD,AVE, ,M3N,509286,W0730,2016-05-30,2017-12-11,2020-05-05,Closed,Enclosure over existing parking garage ramp.,Apartment Building/Parking Garage,Apartment Building/Parking Garage Enclosure,0,0,"45,000",0,0,0,0,0,108,0,0,0.057308756,50 DRIFTWOOD AVE
23984,16 102323 BLD,00,Building Additions/Alterations,Apartment Building,Multiple Projects,50,TUXEDO,CRT, ,M1G,11530128,E2422,2016-01-08,2016-08-24,2021-01-20,Closed,"ADD NEW CONCRETE RAMP & STAIR, CANOPY TO EXTERIOR FRONT ELEVATION, INTERIOR ALTERATIONS AT REAR ENTRANCE, LOBBY, LAUNDRY ROOMS, 16FLR W/C & KITCHENETTE",Apartment Building,Apartment Building,0,0,100000,0,0,0,0,0,0,405,0,0.057308756,50 TUXEDO CRT
24043,16 185350 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),3875,SHEPPARD,AVE,E,M1T,385406,E2232,2016-07-05,2016-08-04,2018-11-22,Closed,Proposal to construct new enclosed parking garage ramp in existing apartment building.,Apartment,Apartment,0,0,50000,0,0,0,0,0,0,44.725,0,0.057308756,3875 SHEPPARD AVE E
24279,16 159549 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,32,MAYNARD,AVE, ,M6K,840462,S0436,2016-05-20,2016-05-31,2022-06-10,Cancelled,Proposal for concrete repairs to the ramp leading to the underground parking in an existing apartment building.,Apartment Building,Same,,,"150,000",0,0,0,0,0,0,0,0,0.057308756,32 MAYNARD AVE
24667,16 134484 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,75,EMMETT,AVE, ,M6M,9344877,W0531,2016-04-01,2016-04-13,2018-11-16,Closed,"Replace intermediate garage slab between levels 1 and 2 of underground parking, columns and exit ramp",Apartment Building,Apartment Building,,,3800000,0,0,0,0,0,0,0,0,0.057308756,75 EMMETT AVE
25157,16 196558 BLD,00,Building Additions/Alterations,Apartment Building,Interior Alterations,9,KINGSBRIDGE,CRT, ,M2R,533680,N0624,2016-07-25,2017-01-30,2017-06-29,Closed,Proposed interior alterations to the lobby to redesign the stairs and access ramp on the ground floor,Apartment Building,Same,0,0,30000,0,0,0,0,0,0,65,0,0.057308756,9 KINGSBRIDGE CRT
25174,17 137013 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2,SECORD,AVE, ,M4C,33933,S1930,2017-03-31,2017-04-25,2020-04-16,Closed,Proposal for concrete slab repair to the parking garage access ramp in an existing apartment building.,Apartment Building,Same,,,"250,000",0,0,0,0,0,0,0,0,0.057308756,2 SECORD AVE
25294,16 128446 BLD,00,Building Additions/Alterations,Apartment Building,Multiple Projects,291,AVENUE,RD, ,M4V,10305741,S1238,2016-03-16,2016-05-31,2026-06-18,Closed,"Proposal for multiple projects to an existing apartment building.  Scope of work includes restoration and waterproofing of the garage deck podium, new barrier free ramp and balcony repair to 7 balconies.",Apartment Building,Same,0,0,"200,000",0,0,0,0,0,0,0,0,0.057308756,291 AVENUE RD
25712,16 170317 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,91,JAMESON,AVE, ,M6K,825390,S0437,2016-06-08,2016-06-24,2022-06-10,Cancelled,"Proposal for parking garage ramp repairs in existing apartment building,.",Apartment,Apartment,,,100000,0,0,0,0,0,0,0,0,0.057308756,91 JAMESON AVE
26280,17 162402 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),1,CHERITAN,AVE, ,M4R,10154560,N0829,2017-05-18,,2021-01-07,Cancelled,Construct a new uncovered ramp providing pedestrian access.,Residential Apartment,Residential Apartment,0,0,"70,000",0,0,0,0,0,0,0,0,0.057308756,1 CHERITAN AVE
26289,17 142882 BLD,00,Building Additions/Alterations,Apartment Building,Addition(s) ,2-14,BRAHMS,AVE, ,M2H,14189025,N1722,2017-04-11,2017-07-24,2018-07-17,Closed,"Enlargement of main entrance vestibule, general accessbility upgrades to existing multi-family residedence.  Demolition of an exterior ramp to be replaced, several widenings of doors and interior ramps, new millwork, new warming ktichen and universal washroom - mechanical and plumbing alterations",Apartment Building,Apartment Building,0,0,"400,000",0,0,7.05,0,0,0,373,0,0.057308756,2-14 BRAHMS AVE
26490,17 170383 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,145,MUTUAL,ST, ,M5B,7641907,S1328,2017-05-31,2017-06-21,2017-10-23,Closed,Proposal for concrete repair and waterproofing to parking garage ramp in existing apartment building.,Apartment,Apartment,,,100000,0,0,0,0,0,0,0,0,0.057308756,145 MUTUAL ST
