city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
246735953-001,Minor Development Permit,Permitted Development,2017-05-15T00:00:00.000,Approved,To move on a Mobile Home and to construct a side uncovered deck (2.44m x 3.05m) and wheelchair access ramp.,39 - KEYHOLE CRESCENT NW,Plan 7621821 Lot 1,6410,MAPLE RIDGE,Redeveloping,Sspomitapi Ward,RSF,3,53.49983352398829,-113.36229739919064,"{'latitude': '53.49983352398829', 'longitude': '-113.36229739919064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36229739919064, 53.49983352398829]}",
303560173-001,Major Development Permit,Discretionary Development,2020-05-12T00:00:00.000,Approved,To construct exterior (new parkade access ramp from 92 Street) and interior alterations (convert basement storage space to underground parkade) to an existing Apartment Housing,9420 - 92 STREET NW,Plan 8120550 Blk 10 Lot 13,6710,STRATHEARN,Redeveloping,Métis Ward,RL,3,53.531011846678226,-113.46918959204163,"{'latitude': '53.531011846678226', 'longitude': '-113.46918959204163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.46918959204163, 53.531011846678226]}",
164646558-032,Major Development Permit,Not Available,2020-02-20T00:00:00.000,Approved,To change the Use of one Dwelling inside an approved Multi-unit House to a Residential Sales Centre (maximum two years) and to construct exterior alterations (access ramps),"108, 1316 - WINDERMERE WAY SW",Condo Common Area (Plan 1421329),5570,WINDERMERE,Developing,pihêsiwin Ward,DC1,3,53.43386717662011,-113.6181445999114,"{'latitude': '53.43386717662011', 'longitude': '-113.6181445999114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6181445999114, 53.43386717662011]}",
174931235-001,Major Development Permit,Discretionary Development,2015-11-12T00:00:00.000,Approved,To change the use from a Single Detched house with Secondary Suite to a Limited Group Home (max 6 residents) and to construct a rear landing (2.59m x 3.96m) with wheelchair accessable ramp.,12015 - 60 STREET NW,Plan 1854HW Blk 23 Lot 43,2550,MONTROSE,Redeveloping,Métis Ward,RS,3,53.57394179011042,-113.4333227602095,"{'latitude': '53.57394179011042', 'longitude': '-113.4333227602095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4333227602095, 53.57394179011042]}",
502620202-002,Minor Development Permit,Discretionary Development,2024-12-17T00:00:00.000,Approved,"To construct a Residential Use Single Detached House with two front attached Garages with breezeway, balconies, elevator, Basement development (NOT to be used as an additional Dwelling) with Garage and wet bar, covered deck, fireplaces and walkout Basement.",180 - WINDERMERE DRIVE NW,Plan 2301MC Blk 2 Lot 20,5570,WINDERMERE,Developing,pihêsiwin Ward,RR,3,53.444677228070475,-113.6241801376465,"{'latitude': '53.444677228070475', 'longitude': '-113.6241801376465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6241801376465, 53.444677228070475]}",
177195815-001,Major Development Permit,Discretionary Development,2015-09-16T00:00:00.000,Approved,"To construct 3 Dwellings of Row Housing with verandas, uncovered rear decks, wooden ramp and to operate a Residential Sales Center for a maximum of 2 years.",8051 - CHAPPELLE WAY SW,Plan 1523381 Blk 15 Lot 67,5462,CHAPPELLE AREA,Developing,Ipiihkoohkanipiaohtsi Ward,RSM,12,53.40094405,-113.582811129,"{'latitude': '53.40094405', 'longitude': '-113.582811129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.582811129, 53.40094405]}",
286945027-006,Major Development Permit,Permitted Development,2018-08-08T00:00:00.000,Approved,"To convert a Single Detached House to a Limited Group Home (5 residents),  construct interior alterations and uncovered rear deck (7.77m x 6.7m), Pergola (1.64m x 2.43m) and ramps. (pre-application: 235655816-001)",12317 - 128 STREET NW,Plan 4843HW Blk 5 Lot 16,3410,SHERBROOKE,Redeveloping,Anirniq Ward,RS,3,53.57869399681178,-113.54239162444493,"{'latitude': '53.57869399681178', 'longitude': '-113.54239162444493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54239162444493, 53.57869399681178]}",
270000044-001,Major Development Permit,Discretionary Development,2018-02-21T00:00:00.000,Approved,"To change the Use from a Single Detached House to a Health Service, construct an addition (1.94m x 7.28m), and to construct interior and exterior alterations (construct wheelchair ramp, rear parking area).",13431 - 118 AVENUE NW,Plan 554KS Blk 3 Lot 8,3450,WOODCROFT,Redeveloping,Anirniq Ward,DC2,3,53.570037567534456,-113.55416928424685,"{'latitude': '53.570037567534456', 'longitude': '-113.55416928424685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.55416928424685, 53.570037567534456]}",
565541861-002,Major Development Permit,No Development Permit Required,,Other,To construct an accessibility ramp and conduct maintenance to a non-Residential building.,10505 - 106 STREET NW,Plan 2421798 Blk 5 Lot 1A,1030,CENTRAL MCDOUGALL,Redeveloping,O-day'min Ward,"DC1,DC",4,53.548085031,-113.502000098,"{'latitude': '53.548085031', 'longitude': '-113.502000098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.502000098, 53.548085031]}",North Edge
139391997-006,Major Development Permit,Permitted Development,2016-11-04T00:00:00.000,Approved,"To construct exterior alterations to an Apartment House (parkade ramp relocation, Building 1).","1, 17810 - 97 STREET NW",Plan 1620480 Blk 81 Lot 56,3190,ELSINORE,Developing,tastawiyiniwak Ward,"RSM,RM",4,53.640002025,-113.493189069,"{'latitude': '53.640002025', 'longitude': '-113.493189069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.493189069, 53.640002025]}",
