row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,floor_area,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,bia,count,latitude,longitude,location,geometry_point,occupancy_granted_date
0-184019470,2016-01-08T00:00:00.000,2016-01-08T00:00:00.000,2016,1,Commercial Final,"To construct interior alterations (opening up wall to install a man-door for access to warehouse bay in ""Thyssenkrupp Elevator"").","Storage Buildings, Warehouses (460)",(03) Interior Alterations,1250,,0,10230 - 176 STREET NW,Plan 7722579 Blk 5 Lot 2,BE,4510,STONE INDUSTRIAL,,1,53.544314163433,-113.62492142189105,"{'latitude': '53.544314163433', 'longitude': '-113.62492142189105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62492142189105, 53.544314163433]}",
1-374113856,2021-01-05T00:00:00.000,2021-01-05T00:00:00.000,2021,1,Commercial Final,"To construct Interior Alteration - NAIT J-Wing Washroom Renewal - To renovate Basement and Second floor washrooms, including Barrier free stalls, along with a janitor room. Sprinkler modifications.",Post-secondary Institutions (624),(03) Interior Alterations,332000,904.17,0,11762 - 106 STREET NW,Plan 0020707 Lot C,UI,1111,BLATCHFORD AREA,Kingsway,1,53.568241248427626,-113.50514401965782,"{'latitude': '53.568241248427626', 'longitude': '-113.50514401965782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50514401965782, 53.568241248427626]}",
1-372914606,2020-11-25T00:00:00.000,2020-11-25T00:00:00.000,2020,11,Commercial Final,To construct Interior Alteration - Columbia House Washroom Renovation - Changing layout of existing washrooms to provide gender neutral & handicap accessible washrooms. Includes upgrade existing mechanical & electrical systems.,Utility Buildings (480),(03) Interior Alterations,135000,290.63,0,7000 - 143 STREET NW,Plan 8521469 Blk A,A1,5401,RIVER VALLEY FORT EDMONTON,,1,53.501459122376545,-113.57892054656465,"{'latitude': '53.501459122376545', 'longitude': '-113.57892054656465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57892054656465, 53.501459122376545]}",
12-188642073,2016-11-03T00:00:00.000,2016-11-03T00:00:00.000,2016,11,Commercial Final,To construct interior alterations in an existing shell building - Ambleside Building 2 for TSPC Dental. Includes 2 barrier free washrooms and interior partition walls.,Office Buildings (520),(03) Interior Alterations,100000,1700,0,16244 - ELLERSLIE ROAD SW,Plan 1321077 Blk 4 Lot 1,CN,5505,AMBLESIDE,,1,53.42443529988586,-113.60441659615172,"{'latitude': '53.42443529988586', 'longitude': '-113.60441659615172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.60441659615172, 53.42443529988586]}",
12-171344901,2019-08-08T00:00:00.000,2019-08-08T00:00:00.000,2019,8,Commercial Final,"To construct interior alterations to a CRU in a commercial mixed use building, ''Trumpeter Mini Mart''. Construct interior partition walls, 1 new barrier-free bathroom, update fire alarm system, update sprinkler system, complete interior finishes.",Retail and Shops (510),(03) Interior Alterations,100000,,0,"106, 2230 - TRUMPETER WAY NW",Plan 1425609 Blk 8 Lot 87,DC1,4471,TRUMPETER AREA,,1,53.58930178502418,-113.67894433567727,"{'latitude': '53.58930178502418', 'longitude': '-113.67894433567727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.67894433567727, 53.58930178502418]}",
2-233661303,2017-12-08T00:00:00.000,2017-12-08T00:00:00.000,2017,12,Commercial Final,To change the Use from industrial to Animal Hospitals and Shelters and to construct interior alterations (renovating washroom to meet the barrier-free code requirements). Infinite Pawsibilities,Animal and Plant Services (410),(03) Interior Alterations,7000,45,0,16811 - 110 AVENUE NW,"Plan 2477KS Blk 6 Lots 6,18U",IM,4600,WEST SHEFFIELD INDUSTRIAL,,1,53.557314420480566,-113.6122472550207,"{'latitude': '53.557314420480566', 'longitude': '-113.6122472550207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6122472550207, 53.557314420480566]}",
0-280278871,2018-05-17T00:00:00.000,2018-05-17T00:00:00.000,2018,5,Commercial Final,To construct exterior alterations to an existing parkade for University of Alberta Hospital.( west parkade resurfacing ent/exit ramp and new snowmelt system),Parkade (490),(03) Exterior Alterations,448000,3043.49,0,11305 - 83 AVENUE NW,Plan 1677TR Blk A,AJ,5520,UNIVERSITY OF ALBERTA,,1,53.518991721037835,-113.52242324834536,"{'latitude': '53.518991721037835', 'longitude': '-113.52242324834536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52242324834536, 53.518991721037835]}",
1-340866966,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,2019,10,Commercial Final,To construct interior alterations to an existing building. Renovating existing space to accommodate Barrier free washroom with a lift.,Secondary Schools (622),(03) Interior Alterations,4000,64,0,"110, 8950 - 163 STREET NW",Plan 2216MC Blk 11 Lot H,PS,4590,WEST MEADOWLARK PARK,,1,53.52529049876677,-113.60508998471978,"{'latitude': '53.52529049876677', 'longitude': '-113.60508998471978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.60508998471978, 53.52529049876677]}",
0-234282987,2016-12-13T00:00:00.000,2016-12-13T00:00:00.000,2016,12,Commercial Final,"To construct interior alterations to an existing residential 2 storey building, construct elevator shaft and install elevator.","Day Cares, Nursing Homes (650)",(03) Interior Alterations,110000,,0,2115 - MILLBOURNE ROAD WEST NW,Plan 1623729 Blk 26 Lot 71,UF,6760,TWEDDLE PLACE,,1,53.48136998372769,-113.45613363359705,"{'latitude': '53.48136998372769', 'longitude': '-113.45613363359705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.45613363359705, 53.48136998372769]}",
6-165968470,2017-05-23T00:00:00.000,2017-05-23T00:00:00.000,2017,5,Commercial Final,"To construct a temporary covered hoarding (enclosed/not accessible to the public) from May 23, 2017 to June 15, 2017 for the exterior alterations to an existing commercial use building.",Hoarding (910),(01) New,1000,528.22,0,8223 - 104 STREET NW,Plan I Blk 68 Lot 15,"DC, DC",5480,STRATHCONA,Old Strathcona,1,53.51866306234083,-113.4970350837392,"{'latitude': '53.51866306234083', 'longitude': '-113.4970350837392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4970350837392, 53.51866306234083]}",
