row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,floor_area,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,bia,count,latitude,longitude,location,geometry_point,occupancy_granted_date
4-96832376,2010-06-04T00:00:00.000,2010-06-04T00:00:00.000,2010,6,Commercial Final,To construct interior alterations (2 Barrier Free washrooms and a demising wall/public corridor). 4th floor.,Office Buildings (520),(03) Interior Alterations,20000,490,0,"401, 10138 - 104 STREET NW","Condo Common Area (Plan 1024646,1025682,1320413,0828363)",HA,1090,DOWNTOWN,Downtown,1,53.54184510383917,-113.49976969517945,"{'latitude': '53.54184510383917', 'longitude': '-113.49976969517945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49976969517945, 53.54184510383917]}",
0-169311420,2015-04-08T00:00:00.000,2015-04-08T00:00:00.000,2015,4,Commercial Final,"To construct interior alterations (Deansgate Pharmacy) 1 Barrier Free Washroom, Fire Alarm Alteration and Alteration to the occupancy separation (install a doorway to the medical clinic next door 166137839-002)",Retail and Shops (510),(03) Interior Alterations,95000,,0,16915 - 127 STREET NW,Plan 1321434 Blk 1 Lot 2,CG,3370,RAPPERSWILL,,1,53.63056370883696,-113.53950592784368,"{'latitude': '53.63056370883696', 'longitude': '-113.53950592784368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53950592784368, 53.63056370883696]}",
0-142472451,2013-10-22T00:00:00.000,2013-10-22T00:00:00.000,2013,10,Commercial Final,To construct interior altrerations - Launchpad Trampoline Park.,Office Complex (522),(03) Interior Alterations,375000,24000,0,6142 - 50 STREET NW,SE-23-52-24-4,"DC2, DC2",6640,ROPER INDUSTRIAL,,1,53.49908429125679,-113.42441301190453,"{'latitude': '53.49908429125679', 'longitude': '-113.42441301190453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.42441301190453, 53.49908429125679]}",
1-90544416,2009-12-04T00:00:00.000,2009-12-04T00:00:00.000,2009,12,Commercial Final,"To construct interior and exterior alterations to a retail store (additional barrier-free washroom, showroom entry door installation for display of one vehicle  ""Shoppers Home Health Care"")",Manufacturing Buildings (430),(03) Interior Alterations,30000,200,0,4619 - 91 AVENUE NW,Plan 3597NY Blk 2 Lot 3,BE,6380,LAMBTON INDUSTRIAL,,1,53.5242126140979,-113.4142342724751,"{'latitude': '53.5242126140979', 'longitude': '-113.4142342724751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4142342724751, 53.5242126140979]}",
8-156000375,2015-07-31T00:00:00.000,2015-07-31T00:00:00.000,2015,7,Commercial Final,To erect temporary structures: 5 bleachers+1 wheelchair lft +various scaffold-frame sign structures at various locations for 2015 Fringe Festival  13-23 August 2015  [Locations in Building Permit Conditions],Temporary Structures (999),(01) New,15000,,0,10330 - 84 AVENUE NW,Plan 3022HW Blk 79 Lot 1,"DC1, DC2, DC2",5480,STRATHCONA,Old Strathcona,1,53.51979579865787,-113.4959753431365,"{'latitude': '53.51979579865787', 'longitude': '-113.4959753431365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4959753431365, 53.51979579865787]}",
1-169907773,2015-05-07T00:00:00.000,2015-05-07T00:00:00.000,2015,5,Commercial Final,To construct interior alteration (install new railing to stairs and ramp to Warehouse Sales building),"Storage Buildings, Warehouses (460)",(03) Exterior Alterations,5000,,0,11925 - KINGSWAY NW,Plan 1276HW Blk 195 Lot B,CG,1170,PRINCE RUPERT,Kingsway,1,53.568661736988794,-113.52830211893857,"{'latitude': '53.568661736988794', 'longitude': '-113.52830211893857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52830211893857, 53.568661736988794]}",
2-148391970,2015-01-30T00:00:00.000,2015-01-30T00:00:00.000,2015,1,Commercial Final,"To construct exterior alterations to an existing Commercial building (minor facade improvements, refreshing existing landscaping and planters, adding additional patio area, adding bicycle parking, adding exterior lighting, reconfiguring existing ramps, adding benches).",Office Buildings (520),(03) Exterior Alterations,395374,,0,10010 - 106 STREET NW,Plan NB Blk 6 Lots 75-76,CMU,1090,DOWNTOWN,Downtown,1,53.53916042235801,-113.50344160915657,"{'latitude': '53.53916042235801', 'longitude': '-113.50344160915657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50344160915657, 53.53916042235801]}",
5-167090197,2015-11-04T00:00:00.000,2015-11-04T00:00:00.000,2015,11,Commercial Final,To construct exterior alterations to an existing General Industrial Uses building (repair  loading ramp) - existing without permits.,"Storage Buildings, Warehouses (460)",(03) Exterior Alterations,9400,,0,4715 - 91 AVENUE NW,Plan 3597NY Blk 2 Lot 3,BE,6380,LAMBTON INDUSTRIAL,,1,53.52442950786394,-113.41305046789142,"{'latitude': '53.52442950786394', 'longitude': '-113.41305046789142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41305046789142, 53.52442950786394]}",
2-131160429,2012-12-21T00:00:00.000,2012-12-21T00:00:00.000,2012,12,Commercial Final,"To construct interior alterations to a general industrial use building to create 3 tenant suites from a single tenant building, ""Green Lantern Electrical"". Exit corridor and 2 new demising walls and Barrier-free washrooms","Storage Buildings, Warehouses (460)",(03) Interior Alterations,25000,3500,0,17404 - 103 AVENUE NW,Plan 9720754 Blk 9 Lot 16,BE,4510,STONE INDUSTRIAL,,1,53.5457046950565,-113.62088507019519,"{'latitude': '53.5457046950565', 'longitude': '-113.62088507019519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62088507019519, 53.5457046950565]}",
0-138530761,2013-07-17T00:00:00.000,2013-07-17T00:00:00.000,2013,7,Commercial Final,"To construct interior alterations in an existing office space - Medicine Shop (counselling room, 1 barrier-free washroom)",Retail and Shops (510),(03) Interior Alterations,42000,1020,0,14020 - 127 STREET NW,Plan 9723690 Lot 5,CN,3340,PEMBINA,,1,53.602819931880035,-113.54201694687355,"{'latitude': '53.602819931880035', 'longitude': '-113.54201694687355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54201694687355, 53.602819931880035]}",
2-137025588,2015-11-25T00:00:00.000,2015-11-25T00:00:00.000,2015,11,Commercial Final,"To construct interior and exterior alterations to a commercial building, (facade improvements, landscaping, wheelchair ramp and interior alterations, base building) (8 new RTU, No washroom, No demising wall)",Office Buildings (520),(03) Exterior Alterations,800000,,0,10505 - 106 STREET NW,Plan 2421798 Blk 5 Lot 1A,DC1,1030,CENTRAL MCDOUGALL,North Edge,1,53.54808393185122,-113.50241593928605,"{'latitude': '53.54808393185122', 'longitude': '-113.50241593928605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50241593928605, 53.54808393185122]}",
0-123415804,2012-04-16T00:00:00.000,2012-04-16T00:00:00.000,2012,4,Commercial Final,To Construct Interior Alterations to a Commercial Building. Main Floor - New Barrier free washrooms,Office Complex (522),(03) Interior Alterations,32000,240,0,10350 - 124 STREET NW,Plan RN22 Blk 32 Lots 19-20,MU,3440,WESTMOUNT,124 Street and Area,1,53.545951853605196,-113.53640336463047,"{'latitude': '53.545951853605196', 'longitude': '-113.53640336463047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53640336463047, 53.545951853605196]}",
1-150266544,2014-10-01T00:00:00.000,2014-10-01T00:00:00.000,2014,10,Commercial Final,To change the use from a General Retail to a Resturant (Del Rosario Filipino Restaurant - 78.12 sq. m of public space) and to construct interior alterations (2 new Barrier Free washrooms),Restaurants and Bars (540),(03) Interior Alterations,60000,1360,0,6574 - 28 AVENUE NW,Plan 8220154 Blk 5 Lot 4,DC2,6720,TAWA,,1,53.459526532518616,-113.43175143735266,"{'latitude': '53.459526532518616', 'longitude': '-113.43175143735266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43175143735266, 53.459526532518616]}",
0-163685631,2014-11-17T00:00:00.000,2014-11-17T00:00:00.000,2014,11,Commercial Final,"To construct interior alterations to a parking structure, ramp & parking level P1 through P5, - 44 Capital Boulevard.",Engineering (490),(03) Interior Alterations,89000,2000,0,10040 - 108 STREET NW,Plan NB Blk 8 Lot 51,CMU,1090,DOWNTOWN,Downtown,1,53.54011034397606,-113.50712136443173,"{'latitude': '53.54011034397606', 'longitude': '-113.50712136443173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50712136443173, 53.54011034397606]}",
1-126143332,2012-09-27T00:00:00.000,2012-09-27T00:00:00.000,2012,9,Commercial Final,To construct an addition to a Religious Assembly (enclosing front canopy in order to install handicap lift) and Exterior Alterations (new canopy) and Interior Albertaions,Religious Buildings (660),(02) Addition,175000,385,0,11910 - 40 STREET NW,Plan 2021MC Blk 9 Lots 14-15,RS,2040,BEACON HEIGHTS,,1,53.57239504916518,-113.40344651287293,"{'latitude': '53.57239504916518', 'longitude': '-113.40344651287293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.40344651287293, 53.57239504916518]}",
1-88759748,2010-01-08T00:00:00.000,2010-01-08T00:00:00.000,2010,1,Commercial Final,"To construct exterior and interior alterations to ""Forest Heights Elementary School "" &  exterior ramp and stairs.",Elementary Schools (620),(03) Interior Alterations,1393251,9688,0,10304 - 81 STREET NW,Plan 6800AK Blk X,PS,6230,FOREST HEIGHTS,,1,53.544727804887025,-113.45326065867238,"{'latitude': '53.544727804887025', 'longitude': '-113.45326065867238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.45326065867238, 53.544727804887025]}",
0-131865848,2013-01-15T00:00:00.000,2013-01-15T00:00:00.000,2013,1,Commercial Final,"To construct interior alterations to a professional office building,  8th floor elevator lobby renovations,  Peace Hills Trust.",Office Buildings (520),(03) Interior Alterations,55549,,0,10011 - 109 STREET NW,Plan NB Blk 8 Lot 32,CMU,1090,DOWNTOWN,Downtown,1,53.539025795359606,-113.50788049857483,"{'latitude': '53.539025795359606', 'longitude': '-113.50788049857483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50788049857483, 53.539025795359606]}",
1-88015184,2009-12-09T00:00:00.000,2009-12-09T00:00:00.000,2009,12,Commercial Final,"To construct interior and exterior alterations to an industrial building (loading ramp+new overhead door, 1885 sf office development ""Penn"")","Storage Buildings, Warehouses (460)",(03) Interior Alterations,352300,9900,0,18539 - 104 AVENUE NW,Plan 0926096 Blk 1 Lot 11,"IM, IM",4530,SUNWAPTA INDUSTRIAL,,1,53.54573667856126,-113.6446343482802,"{'latitude': '53.54573667856126', 'longitude': '-113.6446343482802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6446343482802, 53.54573667856126]}",
1-156800252,2014-07-21T00:00:00.000,2014-07-21T00:00:00.000,2014,7,Commercial Final,"To Change the Use from Mercantile to Business and Personal Service Use ""SM Financial Inc."" (new interior 6' high movable panel walls, Barrier Free w.c is accessable to public corridor.",Office Buildings (520),(03) Interior Alterations,5000,2369,0,10712 - 97 STREET NW,Plan NA Blk 13 Lot A,MU,1140,MCCAULEY,Chinatown and Area,1,53.55193798037543,-113.48983999678171,"{'latitude': '53.55193798037543', 'longitude': '-113.48983999678171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48983999678171, 53.55193798037543]}",
1-100698860,2010-11-23T00:00:00.000,2010-11-23T00:00:00.000,2010,11,Commercial Final,To construct an addition (elevator shaft) to a Group Home Facility for Adult Assisted Living (Shepards Care Foundation) and to construct interior alterations.,"Day Cares, Nursing Homes (650)",(02) Addition,120000,178,0,3820 - 114 STREET NW,Plan 1184NY Blk 63 Lot 28,RM,5220,GREENFIELD,,1,53.474422065312794,-113.52722034768396,"{'latitude': '53.474422065312794', 'longitude': '-113.52722034768396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52722034768396, 53.474422065312794]}",
3-156000375,2014-08-12T00:00:00.000,2014-08-12T00:00:00.000,2014,8,Commercial Final,To erect temporary structures: 5 bleachers+1 wheelchair ramp +various scaffold-frame sign structures at various locations for 2014 Fringe Festival  14-24 August 2014  [Locations in Building Permit Conditions],Temporary Structures (999),(01) New,30000,,0,10330 - 84 AVENUE NW,Plan 3022HW Blk 79 Lot 1,"DC1, DC2, DC2",5480,STRATHCONA,Old Strathcona,1,53.51979579865787,-113.4959753431365,"{'latitude': '53.51979579865787', 'longitude': '-113.4959753431365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4959753431365, 53.51979579865787]}",
4-153317858,2015-02-11T00:00:00.000,2015-02-11T00:00:00.000,2015,2,Commercial Final,"To construct new Mercantile convenience store (7-Eleven) - Interior alterations with new finishes and layout, with open food handling and 2 barrier free washrooms etc.",Retail and Shops (510),(03) Interior Alterations,210000,2923,0,11204 - JASPER AVENUE NW,Plan 9522442 Blk 12 Lot 167,MU,1151,WÎHKWÊNTÔWIN,,1,53.54128203327379,-113.51486640449751,"{'latitude': '53.54128203327379', 'longitude': '-113.51486640449751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51486640449751, 53.54128203327379]}",
0-139298793,2013-10-10T00:00:00.000,2013-10-10T00:00:00.000,2013,10,Commercial Final,To construct interior alterations to an assembly building (Jasper Park Community League: washroom upgrades and elevator),Indoor Recreational Buildings (560),(03) Interior Alterations,160000,520,0,8751 - 153 STREET NW,Plan 3547NY Blk 15 Lot 2A,PS,4230,JASPER PARK,,1,53.52131112611703,-113.58418714489491,"{'latitude': '53.52131112611703', 'longitude': '-113.58418714489491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58418714489491, 53.52131112611703]}",
1-88404648,2009-09-23T00:00:00.000,2009-09-23T00:00:00.000,2009,9,Commercial Final,To construct exterior alteration to a public education service (new handicap lift &new barrier free ramp),Secondary Schools (622),(03) Exterior Alterations,70000,0,0,8405 - 175 STREET NW,Plan 1139TR Blk 7 Lot 41R,PS,4560,THORNCLIFF,,1,53.51738659810465,-113.62272093817556,"{'latitude': '53.51738659810465', 'longitude': '-113.62272093817556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62272093817556, 53.51738659810465]}",
2-87602012,2012-02-14T00:00:00.000,2012-02-14T00:00:00.000,2012,2,Commercial Final,To construct an addition (barrier free lift entry) to a Religious Assembly building (Sacred Heart Church).,Religious Buildings (660),(02) Addition,377281,226,0,10821 - 96 STREET NW,Plan ND Blk 28 Lots 20-23,DC1,1140,MCCAULEY,,1,53.55490576384187,-113.48700661169097,"{'latitude': '53.55490576384187', 'longitude': '-113.48700661169097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48700661169097, 53.55490576384187]}",
0-143419374,2013-10-03T00:00:00.000,2013-10-03T00:00:00.000,2013,10,Commercial Final,To construct a sanitary lift station,Utility Buildings (480),(01) New,2885700,1199,0,7000 - 143 STREET NW,Plan 8521469 Blk A,A1,5401,RIVER VALLEY FORT EDMONTON,,1,53.501459122376545,-113.57892054656465,"{'latitude': '53.501459122376545', 'longitude': '-113.57892054656465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57892054656465, 53.501459122376545]}",
0-103285768,2012-11-08T00:00:00.000,2012-11-08T00:00:00.000,2012,11,Commercial Final,To Change the use from General Retail to a Personal Service Shop Building and to construct Interior Alterations (interior partition removal and construct new barrier free washroom  WILDROSE HAIR DESIGN,Retail and Shops (510),(03) Interior Alterations,30000,1600,0,13212 - 124 STREET NW,Plan 4340MC Blk 12 Lot 5,CG,3250,KENSINGTON,,1,53.59266258507419,-113.53703690703937,"{'latitude': '53.59266258507419', 'longitude': '-113.53703690703937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53703690703937, 53.59266258507419]}",
1-172018815,2015-06-12T00:00:00.000,2015-06-12T00:00:00.000,2015,6,Commercial Final,To construct interior and exterior alterations to an industrial building (construct a 7.32m x 9.14 ramp at the rear of bay 9/107) - Liquor Depot.,"Storage Buildings, Warehouses (460)",(03) Exterior Alterations,336000,50515,0,"106, 13428 - 149 STREET NW",Plan 1222973 Blk 5 Lot 3A,IM,4320,MISTATIM INDUSTRIAL,,1,53.59382657966658,-113.58225514167201,"{'latitude': '53.59382657966658', 'longitude': '-113.58225514167201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58225514167201, 53.59382657966658]}",
2-86458180,2011-02-02T00:00:00.000,2011-02-02T00:00:00.000,2011,2,Commercial Final,To construct an addition to an existing cultural association hall (Lift for Barrier-Free access @ Canadian Lithuanian Society).,Religious Buildings (660),(02) Addition,40000,87,0,11629 - 83 STREET NW,Plan RN50 Blk 116 Lots 9-10,RS,1160,PARKDALE,,1,53.568307302139985,-113.46829063287677,"{'latitude': '53.568307302139985', 'longitude': '-113.46829063287677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.46829063287677, 53.568307302139985]}",
0-158307883,2014-08-27T00:00:00.000,2014-08-27T00:00:00.000,2014,8,Commercial Final,"To construct interior alterations to a Warehouse Sales, new barrier free washroom in a vacant cru.  Tenant improvement shall obtain a separate building permit.","Storage Buildings, Warehouses (460)",(03) Interior Alterations,9876,108,0,4624 - 99 STREET NW,Plan 9924302 Blk 1 Lot 10,BE,6560,PAPASCHASE INDUSTRIAL,,1,53.48464364834106,-113.48717538559163,"{'latitude': '53.48464364834106', 'longitude': '-113.48717538559163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48717538559163, 53.48464364834106]}",
3-142877690,2014-02-11T00:00:00.000,2014-02-11T00:00:00.000,2014,2,Commercial Final,"To construct a Professional, Financial, Office Support Service and General Industrial Use Building, Pylypow 9.  BASE BUILDING ONLY.  6 commercail bays, (1) 2 hr demising wall b/w bay 4123 & 4119 only, 2 hour FRR elevator shaft (4127), 8 RTUs, 1 mechanical room (2 hr FRR/FS), No WCs, 2 hr FRR East elevation ext. wall.","Storage Buildings, Warehouses (460)",(01) New,6971000,97664,0,4103 - ROPER ROAD NW,Plan 1220801 Blk 25 Lot 10,"BE, BE",6590,PYLYPOW INDUSTRIAL,,1,53.4947087552015,-113.4047977605933,"{'latitude': '53.4947087552015', 'longitude': '-113.4047977605933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4047977605933, 53.4947087552015]}",
0-154069954,2014-05-16T00:00:00.000,2014-05-16T00:00:00.000,2014,5,Commercial Final,"To construct Interior alterations to an Existing Office Building for AECOM (new office on main and 2nd floor, including Barrier Free Washrooms)",Office Buildings (520),(03) Interior Alterations,3500000,78361,0,"101, 18817 - STONY PLAIN ROAD NW",Plan 1021211 Blk 1 Lot 9,BE,4400,PLACE LARUE,,1,53.538833368377205,-113.64928150945325,"{'latitude': '53.538833368377205', 'longitude': '-113.64928150945325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.64928150945325, 53.538833368377205]}",
1-174944987,2015-11-20T00:00:00.000,2015-11-20T00:00:00.000,2015,11,Commercial Final,"To construct interior & exterior alterations to an existing shell CRU (New rear exit door and tenant fit-up for Prana Yoga: two large studios, two locker rooms with showers, one barrier-free washroom, and reception area).",Indoor Recreational Buildings (560),(03) Interior Alterations,180000,3717,0,5611 - 199 STREET NW,Plan 1224947 Blk 1 Lot Z,CN,4461,THE HAMPTONS,,1,53.491570073391536,-113.66424433469352,"{'latitude': '53.491570073391536', 'longitude': '-113.66424433469352', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.66424433469352, 53.491570073391536]}",
69-125481529,2015-11-10T00:00:00.000,2015-11-10T00:00:00.000,2015,11,Commercial Final,"To construct interior and exterior alterations to an existing industrial building. ECS office fit-up + new exterior ramp.(1-demising wall, 5-washrooms, 3 RTU's)","Storage Buildings, Warehouses (460)",(03) Exterior Alterations,400000,,0,"16, 3110 - 51 AVENUE NW",Plan 1520631 Blk 1 Lot 1,IM,6690,SOUTHEAST INDUSTRIAL,,1,53.48927806184818,-113.3888175064082,"{'latitude': '53.48927806184818', 'longitude': '-113.3888175064082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.3888175064082, 53.48927806184818]}",
0-109148444,2011-06-02T00:00:00.000,2011-06-02T00:00:00.000,2011,6,Commercial Final,"To Construct interior alterations for an office building (maintenance repair of washrooms and corridors in front of elevators - 5, 11 and 12 floors).",Office Buildings (520),(03) Interior Alterations,100000,2400,0,8215 - 112 STREET NW,Plan 5384RS Blk 158 Lot 1A,DC2,5200,GARNEAU,,1,53.51860391214073,-113.52021095968786,"{'latitude': '53.51860391214073', 'longitude': '-113.52021095968786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52021095968786, 53.51860391214073]}",
0-111106054,2011-06-21T00:00:00.000,2011-06-21T00:00:00.000,2011,6,Commercial Final,"To construct interior alterations to a general industrial use,  two new barrier free washrooms serving lease space three and four 2nd. floor, Project: ""Ellerslie U Store It Self Storage & Wine Casket"".","Storage Buildings, Warehouses (460)",(03) Interior Alterations,17000,220,0,2330 - ELLWOOD DRIVE SW,Plan 0525416 Blk 3 Lot 4,EIB,6214,ELLERSLIE INDUSTRIAL,,1,53.4317632224368,-113.47141137910603,"{'latitude': '53.4317632224368', 'longitude': '-113.47141137910603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47141137910603, 53.4317632224368]}",
0-128738486,2012-10-09T00:00:00.000,2012-10-09T00:00:00.000,2012,10,Commercial Final,To construct interior alterations to an existing Retail space - Bell Mobility,Retail and Shops (510),(03) Interior Alterations,120000,1100,0,15755 - 97 STREET NW,Plan 1124524 Blk 2 Lot 14,DC1,2241,EAUX CLAIRES,,1,53.61899465395326,-113.48994765085365,"{'latitude': '53.61899465395326', 'longitude': '-113.48994765085365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48994765085365, 53.61899465395326]}",
1-100943724,2010-12-07T00:00:00.000,2010-12-07T00:00:00.000,2010,12,Commercial Final,"To Construct Exterior alterations (wheelchair ramp, satairs, & canopy) & Interior Alterations (Barrier-free washroom conversion, wheelchair lift, & minor interior partitions) to St Stephen's College",Universities (626),(03) Exterior Alterations,75000,1348,0,8810 - 112 STREET NW,Plan 7920335 Blk 4 Lot 3,AJ,5520,UNIVERSITY OF ALBERTA,,1,53.52398647750857,-113.52170006012122,"{'latitude': '53.52398647750857', 'longitude': '-113.52170006012122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52170006012122, 53.52398647750857]}",
0-167164792,2015-02-26T00:00:00.000,2015-02-26T00:00:00.000,2015,2,Commercial Final,"To construct interior alterations to an existing Bar / Resturant, ""O2's Taphouse & Grill"". 2 barrier free washrooms, new layout for other washrooms, changes to entrance vestibule, minor alterations to the bar tending area (new sinks, coolers and glass washer)",Restaurants and Bars (540),(03) Interior Alterations,110000,4860,0,11026 - JASPER AVENUE NW,Plan NB Blk 10 Lots 91-92,DC2,1151,WÎHKWÊNTÔWIN,,1,53.541279212954315,-113.51168050236605,"{'latitude': '53.541279212954315', 'longitude': '-113.51168050236605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51168050236605, 53.541279212954315]}",
36-125481529,2014-12-12T00:00:00.000,2014-12-12T00:00:00.000,2014,12,Commercial Final,"To construct interior and exterior alterations to an Industrial building - Unit #26, Building B, Hopewell Whitemud - interior demising wall (block), modify precast wall panels for overhead door and front window, retaining walls and ramp).","Storage Buildings, Warehouses (460)",(03) Exterior Alterations,250000,194,0,"26, 3250 - 51 AVENUE NW",Plan 1520631 Blk 1 Lot 1,"PU, IL, IM",6690,SOUTHEAST INDUSTRIAL,,1,53.489159148053005,-113.38779342956832,"{'latitude': '53.489159148053005', 'longitude': '-113.38779342956832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.38779342956832, 53.489159148053005]}",
8-149303641,2014-11-12T00:00:00.000,2014-11-12T00:00:00.000,2014,11,Commercial Final,To construct interior alterations for a food Services (New Papa Johns Restaurant takeout and delivery with barrier free water closet),Restaurants and Bars (540),(03) Interior Alterations,100000,,0,7223 - WINTERBURN ROAD NW,Plan 2522068 Blk 1 Lot 124,DC,4551,GRANVILLE,,1,53.5070663419062,-113.68713548361629,"{'latitude': '53.5070663419062', 'longitude': '-113.68713548361629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.68713548361629, 53.5070663419062]}",
35-83621705,2014-10-10T00:00:00.000,2014-10-10T00:00:00.000,2014,10,Commercial Final,"To construct interior alterations (expansion of existing Health Services in 14437 into 14435; tenant improvements) for ""Miller Crossing Dental."" Work includes 2 washrooms and partition walls. 2 Barrier-free washrooms existing. No changes to RTUs or structure.",Retail and Shops (510),(03) Interior Alterations,200000,4154,0,14437 - MILLER BOULEVARD NW,Plan 0024700 Blk 9 Lot 1,CN,2541,MILLER,,1,53.60759354427093,-113.41369727767638,"{'latitude': '53.60759354427093', 'longitude': '-113.41369727767638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41369727767638, 53.60759354427093]}",
1-90921445,2009-12-14T00:00:00.000,2009-12-14T00:00:00.000,2009,12,Commercial Final,To construct interior alterations to a Private Education Service buidling. ( Elevator Addition )  Winnifred Stewart School,Elementary Schools (620),(03) Exterior Alterations,320000,36578,0,11130 - 131 STREET NW,Plan RN60 Blk 23 Lots 6-7,UF,3240,INGLEWOOD,,1,53.55983035831136,-113.54838368857408,"{'latitude': '53.55983035831136', 'longitude': '-113.54838368857408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54838368857408, 53.55983035831136]}",
