point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.18205480529157, 51.046460228333046]}",DP2010-1252,12 STRATHAVEN CI SW,,Home Occupation Class 2,HOME OCCUPATION - CLASS 2: MICRO-CURRENT FACELIFT (1 YEAR),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2010-04-06T00:00:00.000,2010-05-19T00:00:00.000,2010-06-15T00:00:00.000,2011-05-19T00:00:00.000,Approval,Development Authority,STR,STRATHCONA PARK,6,SW,51.046460228333046,-114.18205480529157,2,Titled Parcel;Building,12 STRATHAVEN CI SW;12 STRATHAVEN CI SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1820548,51.0464602],[-114.1818367,51.046419]]}","MULTIPOINT (-114.18205480529157 51.046460228333046,-114.18183671885966 51.04641899027774)",,,,,
"{'type': 'Point', 'coordinates': [-114.2548902112604, 51.09344623478361]}",DP2011-0465,84 VALLEY RIDGE GR NW,,Relaxation - Existing - Residential,RELAXATION: SKATEBOARD RAMP (1 YEAR),C9999,OTHER,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2011-02-10T00:00:00.000,2011-02-22T00:00:00.000,2011-03-22T00:00:00.000,2012-02-22T00:00:00.000,Approval,Development Authority,VAL,VALLEY RIDGE,1,NW,51.09344623478361,-114.2548902112604,1,Titled Parcel,84 VALLEY RIDGE GR NW,"{""type"":""Point"",""coordinates"":[-114.2548902,51.0934462]}",POINT (-114.2548902112604 51.09344623478361),,,,,
"{'type': 'Point', 'coordinates': [-114.03226392345469, 51.03924544880914]}",DP2011-4911,1401 10 AV SE,LANTERN COMMUNITY CHRISTIAN REFORMED CHURCH OF CALGARY.,Renovations - Non-Residential,NEW: EXTERIOR RENOVATIONS (WHEELCHAIR RAMP),C1572,EXTERIOR RENOVATIONS,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2011-12-21T00:00:00.000,2012-01-26T00:00:00.000,2012-02-21T00:00:00.000,2014-01-26T00:00:00.000,Approval,Development Authority,ING,INGLEWOOD,9,SE,51.03924544880914,-114.03226392345469,2,Titled Parcel;Building,1401 10 AV SE;1401 10 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0322639,51.0392454],[-114.0323995,51.039114]]}","MULTIPOINT (-114.03226392345469 51.03924544880914,-114.03239954839111 51.03911399025303)",,,,,
"{'type': 'Point', 'coordinates': [-114.05927726675013, 51.06611794948619]}",DP2016-2284,210 15 AV NE,NORR ARCHITECTS ENGINEERS PLANNERS,Residential - Multi-Family - Renovations,CHANGES TO SITE PLAN: MULTI-RESIDENTIAL DEVELOPMENT (ADDING BARRIER FREE RAMP & LANDSCAPING),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C2,Multi-Residential - Contextual Medium Profile,Released,2016-06-08T00:00:00.000,2016-08-18T00:00:00.000,2016-09-19T00:00:00.000,2018-08-18T00:00:00.000,Approval,Development Authority,CRE,CRESCENT HEIGHTS,7,NE,51.06611794948619,-114.05927726675013,2,Titled Parcel;Building,210 15 AV NE;210 15 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0592773,51.0661179],[-114.0592759,51.0662271]]}","MULTIPOINT (-114.05927726675013 51.06611794948619,-114.05927589382614 51.06622709414083)",,,,,
"{'type': 'Point', 'coordinates': [-114.06872099961814, 51.03238781690439]}",DP2016-3533,2210 2 ST SW,,Change of Use - With Change to Site Plan,ADDITION: RESIDENTIAL CARE - TEMPORARY ELEVATOR - 3 YEARS,C2440,RESIDENTIAL CARE,Discretionary,DC,Direct Control (1P2007),Cancelled,2016-08-25T00:00:00.000,2016-10-06T00:00:00.000,2016-11-08T00:00:00.000,2019-10-06T00:00:00.000,Approval,Development Authority,MIS,MISSION,11,SW,51.03238781690439,-114.06872099961814,2,Titled Parcel;Building,2210 2 ST SW;2210 2 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.068721,51.0323878],[-114.0670812,51.0324335]]}","MULTIPOINT (-114.06872099961814 51.03238781690439,-114.06708120103387 51.03243349365928)",,,,,
"{'type': 'Point', 'coordinates': [-114.22813113261826, 51.11968568600476]}",DP2017-1783,636 SCHOONER CV NW,DBH BARRISTERS & SOLICITORS,Relaxation - Existing - Residential,"RELAXATION: EAVES (EXISTING) - PROJECTION INTO SIDE SETBACK, SKATEBOARD RAMP (EXISTING) - LENGTH",C2730,SINGLE DETACHED DWELLING,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2017-05-02T00:00:00.000,2017-06-08T00:00:00.000,2017-07-05T00:00:00.000,2019-06-08T00:00:00.000,Approval,Development Authority,SCE,SCENIC ACRES,1,NW,51.11968568600476,-114.22813113261826,2,Titled Parcel;Building,636 SCHOONER CV NW;636 SCHOONER CV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2281311,51.1196857],[-114.2282298,51.1195923]]}","MULTIPOINT (-114.22813113261826 51.11968568600476,-114.22822981556904 51.11959226198168)",,,,,
"{'type': 'Point', 'coordinates': [-114.16612211766554, 51.08001325794005]}",DP2017-1894,2111 52 ST NW,FORM 3 DESIGN 2004,Commercial - Other Areas,CHANGES TO SITE PLAN: PLACE OF WORSHIP - SMALL (BARRIER-FREE STALLS); ADDITION: PLACE OF WORSHIP - SMALL (FRONT ENTRY),C2280,PLACE OF WORSHIP - SMALL,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2017-05-09T00:00:00.000,2017-06-23T00:00:00.000,2017-07-17T00:00:00.000,2019-06-23T00:00:00.000,Approval,Development Authority,MON,MONTGOMERY,7,NW,51.08001325794005,-114.16612211766552,2,Titled Parcel;Building,2111 52 ST NW;2111 52 ST NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1661221,51.0800133],[-114.1662358,51.0803102]]}","MULTIPOINT (-114.16612211766552 51.08001325794005,-114.16623582652939 51.080310178470825)",,,,,
"{'type': 'Point', 'coordinates': [-114.08098265541425, 51.054015294592034]}",DP2004-2139,934 MEMORIAL DR NW,M C P CONSULTANTS INC,Residential - Multi-Family - Renovations,ADDITION TO MULTI-DWELLING RESIDENTIAL (HANDICAP RAMP),B1300,APARTMENT BUILDING,Discretionary,RM-2,RESIDENTIAL LOW DENSITY MULTI-DWELLING DISTRICT,Released,2004-07-21T00:00:00.000,2004-08-31T00:00:00.000,2005-06-07T00:00:00.000,2005-08-31T00:00:00.000,Approval,Development Authority,SSD,SUNNYSIDE,7,NW,51.054015294592034,-114.08098265541425,1,Titled Parcel,934 MEMORIAL DR NW,"{""type"":""Point"",""coordinates"":[-114.0809827,51.0540153]}",POINT (-114.08098265541425 51.054015294592034),,,,,
"{'type': 'Point', 'coordinates': [-113.93665994616123, 51.087839777427]}",DP1996-1847,16 TEMPLESON WY NE,,,CONVERTED JOB - FRONT YARD RELAXATION FOR EXISTING RAMP/DECK,B8172,SINGLE-DETACHED DWELLING,Permitted,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Released,1996-07-08T00:00:00.000,1996-07-11T00:00:00.000,,1998-07-11T00:00:00.000,Approval,Development Authority,TEM,TEMPLE,10,NE,51.087839777427,-113.93665994616123,1,Titled Parcel,16 TEMPLESON WY NE,"{""type"":""Point"",""coordinates"":[-113.9366599,51.0878398]}",POINT (-113.93665994616123 51.087839777427),1996-08-02T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.06217303380755, 51.101262860860274]}",DP2015-5022,5600 CENTRE ST NE,GEC ARCHITECTURE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (REFURBISH EXTERIOR STAIRS AND RAMPS),C1350,COMMUNITY RECREATION FACILITY,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2015-12-03T00:00:00.000,2015-12-16T00:00:00.000,2016-01-12T00:00:00.000,2017-12-16T00:00:00.000,Approval,Development Authority,THO,THORNCLIFFE,4,NE,51.101262860860274,-114.06217303380755,2,Titled Parcel;Building,5600 CENTRE ST NE;5600 CENTRE ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.062173,51.1012629],[-114.061685,51.1014933]]}","MULTIPOINT (-114.06217303380755 51.101262860860274,-114.06168501808098 51.101493263267244)",,,,,
"{'type': 'Point', 'coordinates': [-114.12502066792617, 51.067737184973986]}",DP2020-5254,2727 16 AV NW,ZEIDLER ARCHITECTURE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: ASSISTED LIVING (ELEVATOR SHAFT IN COURTYARD),C1110,ASSISTED LIVING,Discretionary,M-C2,Multi-Residential - Contextual Medium Profile,Released,2020-08-21T00:00:00.000,2020-09-28T00:00:00.000,2020-10-23T00:00:00.000,2022-09-28T00:00:00.000,Approval,Development Authority,STA,ST. ANDREWS HEIGHTS,7,NW,51.067737184973986,-114.12502066792617,2,Titled Parcel;Building,2727 16 AV NW;2727 16 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1250207,51.0677372],[-114.1249277,51.0672898]]}","MULTIPOINT (-114.12502066792617 51.067737184973986,-114.12492770804577 51.06728981293443)",,,,,
"{'type': 'Point', 'coordinates': [-114.06014345181295, 51.11101878656903]}",DP2017-4154,#501 6505 HUNTRIDGE HL NE,1838766 ALBERTA,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: MULTI-RESIDENTIAL DEVELOPMENT (NEW RAMP, PARKING RECONFIGURATION), CHANGE OF USE: CHILD CARE SERVICE (60 CHILDREN), NEW: SIGN-CLASS B",C1310; C2050,CHILD CARE SERVICE; MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2017-09-12T00:00:00.000,2017-12-20T00:00:00.000,2018-02-20T00:00:00.000,2019-12-20T00:00:00.000,Approval,Development Authority,HUN,HUNTINGTON HILLS,4,NE,51.11101878656903,-114.06014345181295,6,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite,6505 HUNTRIDGE HL NE;#500 6505 HUNTRIDGE HL NE;#503 6505 HUNTRIDGE HL NE;#501 6505 HUNTRIDGE HL NE;#502 6505 HUNTRIDGE HL NE;#504 6505 HUNTRIDGE HL NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0601435,51.1110188],[-114.0602481,51.1108528],[-114.0601957,51.1108115],[-114.0603001,51.1108942],[-114.0603015,51.1108105],[-114.0601943,51.1108957]]}","MULTIPOINT (-114.06014345181295 51.11101878656903,-114.0602480872979 51.110852847032454,-114.06019567950104 51.11081145878788,-114.06030008095833 51.11089417253939,-114.06030148578947 51.110810451373666,-114.0601942893786 51.11089565639521)",,,,,
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2018-0842,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (HANDICAP AUTO EQUIPPING) - 5 YEARS,C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2018-03-02T00:00:00.000,2018-03-22T00:00:00.000,2018-04-24T00:00:00.000,2020-03-22T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034154221057314,-113.99122655008739,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT (-113.99122655008739 51.034154221057314,-113.9911514259156 51.03409004656181)",,,,,
"{'type': 'Point', 'coordinates': [-114.11670626927634, 51.183452101354185]}",DP2020-4815,2000 144 AV NW,,Temporary Structure,TEMPORARY USE: UTILITIES (SANITARY LIFT STATION),C2900,UTILITIES,Permitted,R-G,Residential - Low Density Mixed Housing,Cancelled,2020-08-04T00:00:00.000,2021-02-11T00:00:00.000,,2023-02-11T00:00:00.000,Approval,Development Authority,ABT,AMBLETON,2,NW,51.183,-114.117,1,Titled Parcel,2000 144 AV NW,"{""type"":""Point"",""coordinates"":[-114.1167063,51.1834521]}",POINT (-114.11670626927634 51.183452101354185),2022-03-22T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.09606771480352, 51.07157914405794]}",DP2019-1502,1522 21 AV NW,NEXT ARCHITECTURE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (LANDSCAPING); EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (RAMP); ACCESSORY RESIDENTIAL BUILDING (GARAGE),C1350,COMMUNITY RECREATION FACILITY,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2019-03-29T00:00:00.000,2019-07-08T00:00:00.000,2019-08-07T00:00:00.000,2021-07-08T00:00:00.000,Approval,Development Authority,CAP,CAPITOL HILL,7,NW,51.071579144057935,-114.09606771480352,2,Titled Parcel;Building,1522 21 AV NW;1522 21 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0960677,51.0715791],[-114.0960642,51.0716687]]}","MULTIPOINT (-114.09606771480352 51.071579144057935,-114.09606423301751 51.07166865730321)",,,,,
"{'type': 'Point', 'coordinates': [-114.15049281759931, 51.07805533299043]}",DP2019-5183,383 SMITH ST NW,S2 ARCHITECTURE,Change of Use - With Change to Site Plan,"REVISION: MULTI-RESIDENTIAL DEVELOPMENT (CHANGES TO DP2017-5129 - MOTOR VEHICLE PARKING STALL VOLUMETRIC CLEARANCE, RAMP, RELOCATION OF TRANSFORMER, RELAXATION OF 1 PARKING STALL)",C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-2,Multi-Residential - Medium Profile,In Advertising,2019-10-04T00:00:00.000,2019-11-06T00:00:00.000,,2021-11-06T00:00:00.000,Approval,Development Authority,UND,UNIVERSITY DISTRICT,7,NW,51.07805533299043,-114.15049281759931,2,Titled Parcel;Building,383 SMITH ST NW;383 SMITH ST NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1504928,51.0780553],[-114.1506238,51.0780988]]}","MULTIPOINT (-114.15049281759931 51.07805533299043,-114.15062375138778 51.078098818295)",,,,,
"{'type': 'Point', 'coordinates': [-113.97781032187457, 50.87545807503309]}",DP2020-8033,11 CRANARCH PT SE,,Relaxation - Existing - Residential,RELAXATION: SKATEBOARD RAMP (EXISTING) - HEIGHT AND LENGTH,C2730,SINGLE DETACHED DWELLING,Permitted with a Relaxation,R-1,Residential - One Dwelling,Pending Appeal,2020-12-11T00:00:00.000,2021-05-21T00:00:00.000,,,Refusal,Development Authority,CRA,CRANSTON,12,SE,50.87545807503309,-113.97781032187457,1,Titled Parcel,11 CRANARCH PT SE,"{""type"":""Point"",""coordinates"":[-113.9778103,50.8754581]}",POINT (-113.97781032187457 50.87545807503309),2021-05-25T00:00:00.000,SDAB2021-0041,2021-08-05T00:00:00.000,Appeal Denied  -  Application Refused,2021-08-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-113.97161855152004, 51.064879074998494]}",DP2021-4293,1436 43 ST NE,,Relaxation - New - Residential,"RELAXATION: RETAINING WALL (WHEELCHAIR RAMP) - HEIGHT, DECK - HEIGHT",C1455; C2535,DECK; RETAINING WALL,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2021-06-12T00:00:00.000,2021-10-04T00:00:00.000,2021-10-29T00:00:00.000,2023-10-04T00:00:00.000,Approval,Development Authority,MRL,MARLBOROUGH,10,NE,51.065,-113.972,2,Titled Parcel;Building,1436 43 ST NE;1436 43 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9716186,51.0648791],[-113.97144,51.0648862]]}","MULTIPOINT ((-113.97161855152004 51.064879074998494),(-113.97143996940628 51.06488617831734))",,,,,
"{'type': 'Point', 'coordinates': [-114.082270840016, 50.992217198703564]}",DP2019-3841,911 68 AV SW,MC2DESIGN,Renovations - Non-Residential,CHANGES TO SITE PLAN: PLACE OF WORSHIP - MEDIUM (RAMP),C2270,PLACE OF WORSHIP - MEDIUM,Discretionary,M-C1; R-C2,Multi-Residential - Contextual Low Profile; Residential - Contextual One/Two Dwelling,Released,2019-07-26T00:00:00.000,2019-08-22T00:00:00.000,2019-10-09T00:00:00.000,2021-08-22T00:00:00.000,Approval,Development Authority,KIN,KINGSLAND,11,SW,50.992217198703564,-114.082270840016,3,Titled Parcel;Titled Parcel;Titled Parcel,915 68 AV SW;911 68 AV SW;921 68 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0822708,50.9922172],[-114.0820525,50.9922175],[-114.0826282,50.9922187]]}","MULTIPOINT (-114.082270840016 50.992217198703564,-114.08205252893235 50.9922175320253,-114.08262815246363 50.992218690570745)",,,,,
"{'type': 'Point', 'coordinates': [-114.21741963677307, 51.01453858810917]}",DP2018-5161,30 DISCOVERY RIDGE MR SW,L C P CONTRACTING & RENOVATIONS,Residential - Additions 10 sq metres and under,ADDITION: SINGLE DETACHED DWELLING (ELEVATOR TOWER) - BUILDING SETBACK FROM REAR PROPERTY LINE,C2730,SINGLE DETACHED DWELLING,Permitted with a Relaxation,R-1,Residential - One Dwelling,Released,2018-11-01T00:00:00.000,2018-11-23T00:00:00.000,2018-12-21T00:00:00.000,2020-11-23T00:00:00.000,Approval,Development Authority,DIS,DISCOVERY RIDGE,6,SW,51.01453858810917,-114.21741963677307,2,Titled Parcel;Building,30 DISCOVERY RIDGE MR SW;30 DISCOVERY RIDGE MR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2174196,51.0145386],[-114.2174281,51.0144078]]}","MULTIPOINT (-114.21741963677307 51.01453858810917,-114.21742806050739 51.01440778892275)",,,,,
"{'type': 'Point', 'coordinates': [-114.1021310243799, 51.015067080875426]}",DP2020-4127,4403 16A ST SW,,Relaxation - New - Residential,RELAXATION: SKATEBOARD AND SPORTS RAMP - LENGTH AND HEIGHT,C9999,OTHER,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2020-07-06T00:00:00.000,2020-08-06T00:00:00.000,2020-09-08T00:00:00.000,2022-08-06T00:00:00.000,Approval,Development Authority,ALT,ALTADORE,8,SW,51.015067080875426,-114.1021310243799,2,Titled Parcel;Building,4403 16A ST SW;4403 16A ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.102131,51.0150671],[-114.1023142,51.0150751]]}","MULTIPOINT (-114.1021310243799 51.015067080875426,-114.10231417412496 51.01507506539893)",,,,,
"{'type': 'Point', 'coordinates': [-114.06094901272334, 51.02170330219689]}",DP2018-3423,3645 MACLEOD TR SW,RIDDELL KURCZABA ARCHITECTURE,Change of Use - With Change to Site Plan,"REVISION: MULTI-USE COMMERCIAL (REVISIONS TO DP2015-4607 - ADDITION OF PARKING AT PARKADE LEVEL, CHANGES TO SURFACE PARKING AND RAMPS, MINOR CHANGES TO CONVENIENCE STORE AND CAR WASH ELEVATIONS)",C1260; C1400; C1540; C1680; C1910,CAR WASH - SINGLE VEHICLE; CONVENIENCE FOOD STORE; DWELLING UNIT; GAS BAR; LIQUOR STORE,Discretionary,C-COR2 f3.0h30,Commercial - Corridor 2,Released,2018-07-17T00:00:00.000,2018-08-20T00:00:00.000,2019-01-28T00:00:00.000,2020-08-20T00:00:00.000,Approval,Development Authority,PKH,PARKHILL,11,SW,51.02170330219689,-114.06094901272334,5,Titled Parcel;Building;Building;Building Suite;Building Suite,8 MISSION RD SW;8 MISSION RD SW;3623 MACLEOD TR SW;12 MISSION RD SW;3645 MACLEOD TR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.060949,51.0217033],[-114.0608118,51.0218202],[-114.0603178,51.0224294],[-114.0609854,51.0217594],[-114.0607314,51.0218855]]}","MULTIPOINT (-114.06094901272334 51.02170330219689,-114.06081178983175 51.0218202137223,-114.06031778086813 51.02242938277041,-114.0609853758282 51.02175935241916,-114.06073135657742 51.02188552127744)",,,,,
"{'type': 'Point', 'coordinates': [-114.07496424632988, 51.0190809621263]}",DP2019-4192,317 39 AV SW,,Relaxation - Existing - Residential,TEMPORARY USE: SKATEBOARD RAMP (EXISTING)- SETBACK FROM SIDE AND REAR PROPERTY LINE - 5 YEARS,C9999,OTHER,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2019-08-15T00:00:00.000,2019-09-25T00:00:00.000,2019-10-25T00:00:00.000,2021-09-25T00:00:00.000,Approval,Development Authority,EPK,ELBOW PARK,11,SW,51.0190809621263,-114.07496424632988,2,Titled Parcel;Building,317 39 AV SW;317 39 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0749642,51.019081],[-114.0749584,51.0189905]]}","MULTIPOINT (-114.07496424632988 51.0190809621263,-114.07495841365136 51.01899051974772)",,,,,
"{'type': 'Point', 'coordinates': [-114.12845069677533, 51.02301075753911]}",DP2019-5829,#216B 3504 SARCEE RD SW,SAHURI + PARTNERS ARCHITECTURE,Commercial - Other Areas,"ADDITION: RESIDENTIAL CARE (ELEVATOR SHAFT, SOUTH ELEVATION)",C2440,RESIDENTIAL CARE,Discretionary,S-CI,Special Purpose - Community Institution,Released,2019-11-13T00:00:00.000,2019-12-31T00:00:00.000,2020-02-04T00:00:00.000,2021-12-31T00:00:00.000,Approval,Development Authority,RUT,RUTLAND PARK,8,SW,51.02301075753911,-114.12845069677533,3,Titled Parcel;Building;Building Suite,3504 SARCEE RD SW;3504 SARCEE RD SW;#216B 3504 SARCEE RD SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1284507,51.0230108],[-114.1270155,51.0221314],[-114.1270155,51.0221314]]}","MULTIPOINT (-114.12845069677533 51.02301075753911,-114.12701548483783 51.02213136460245,-114.12701548483783 51.02213136460245)",,,,,
"{'type': 'Point', 'coordinates': [-114.07171163481888, 51.006816380684455]}",DP2021-0711,401 52 AV SW,,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: ASSISTED LIVING (RAMP ADDITION AND FRONT PATIO),C1110,ASSISTED LIVING,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2021-02-04T00:00:00.000,2021-03-19T00:00:00.000,2021-04-22T00:00:00.000,,Approval,Development Authority,WND,WINDSOR PARK,11,SW,51.006816380684455,-114.07171163481888,3,Titled Parcel;Building;Building,401 52 AV SW;401 52 AV SW;403 52 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0717116,51.0068164],[-114.0717157,51.0067171],[-114.0718181,51.0067173]]}","MULTIPOINT (-114.07171163481888 51.006816380684455,-114.07171571367813 51.00671709490457,-114.07181807859796 51.00671730172555)",,,,,
"{'type': 'Point', 'coordinates': [-114.050166165411, 50.9686820320057]}",DP2018-4447,9427 ABBOTT PL SE,,Relaxation - Existing - Accessory Building,RELAXATION: SKATEBOARD AND SPORTS RAMP (EXISTING) - LENGTH,C9999,OTHER,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2018-09-17T00:00:00.000,2018-10-25T00:00:00.000,2018-11-27T00:00:00.000,2020-10-25T00:00:00.000,Approval,Development Authority,ACA,ACADIA,11,SE,50.9686820320057,-114.05016616541099,1,Titled Parcel,9427 ABBOTT PL SE,"{""type"":""Point"",""coordinates"":[-114.0501662,50.968682]}",POINT (-114.05016616541099 50.9686820320057),,,,,
"{'type': 'Point', 'coordinates': [-114.07919484980332, 51.037033384520925]}",DP2019-0167,1720 7 ST SW,MODERN OFFICE OF DESIGN & ARCHITECTURE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: MULTI-RESIDENTIAL DEVELOPMENT (LANDSCAPING AND RAMP),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C2,Multi-Residential - Contextual Medium Profile,Released,2019-01-11T00:00:00.000,2019-02-21T00:00:00.000,2019-03-28T00:00:00.000,2021-02-21T00:00:00.000,Approval,Development Authority,LMR,MOUNT ROYAL LOWER,8,SW,51.037033384520925,-114.07919484980332,1,Titled Parcel,1720 7 ST SW,"{""type"":""Point"",""coordinates"":[-114.0791948,51.0370334]}",POINT (-114.07919484980332 51.037033384520925),,,,,
"{'type': 'Point', 'coordinates': [-114.07179134466377, 51.077703960495754]}",DP2024-07629,501 28 AV NW,,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE, WASTE AND RECYCLING ENCLOSURE - 2)",C1020; C2540; C2626,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING; SECONDARY SUITE,Discretionary,R-CG,Residential - Grade-Oriented Infill,Cancelled,2024-10-25T00:00:00.000,,,,,,MOP,MOUNT PLEASANT,7,NW,51.078,-114.072,2,Titled Parcel;Building,501 28 AV NW;501 28 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0717913,51.077704],[-114.0717781,51.0776337]]}","MULTIPOINT ((-114.07179134466377 51.077703960495754),(-114.0717780783767 51.077633741233456))",2025-01-15T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98032958578024, 51.04039825106401]}",DP2023-08972,1511 37 ST SE,,Residential - Multi-Family,"NEW: DWELLING UNITS (2 BUILDINGS), SECONDARY SUITES (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE)",C9999,OTHER,Permitted,R-CG,Residential - Grade-Oriented Infill,Cancelled,2023-12-19T00:00:00.000,,,,,,FLN,FOREST LAWN,9,SE,51.040,-113.980,1,Titled Parcel,1511 37 ST SE,"{""type"":""Point"",""coordinates"":[-113.9803296,51.0403983]}",POINT (-113.98032958578024 51.04039825106401),2025-05-17T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.07336098261909, 51.043734549953065]}",DP2025-02854,550 10 AV SW,O2 PLANNING AND DESIGN,Change of Use - With Change to Site Plan,"REVISION: CHANGES TO SITE PLAN: MULTI-RESIDENTIAL DEVELOPMENT, RETAIL AND CONSUMER SERVICE (ADDING OUTDOOR SAUNAS, POOLS, PATIO & RELOCATING PUBLICLY ACCESSIBLE PRIVATE OPEN SPACE)",C2050; C2515,MULTI-RESIDENTIAL DEVELOPMENT; RETAIL AND CONSUMER SERVICE,Discretionary,DC,Direct Control (1P2007),Released,2025-05-15T00:00:00.000,2025-07-28T00:00:00.000,2025-10-01T00:00:00.000,2028-07-28T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.044,-114.073,2,Titled Parcel;Building Suite,538 10 AV SW;550 10 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.073361,51.0437345],[-114.0734572,51.0439317]]}","MULTIPOINT ((-114.07336098261909 51.043734549953065),(-114.07345716652824 51.04393167940032))",,,,,
"{'type': 'Point', 'coordinates': [-114.07123196618336, 51.08428842466935]}",DP2025-04911,458 35 AV NW,,Renovations - Non-Residential,ADDITION: PLACE OF WORSHIP - SMALL (COVERED ENTRANCE); CHANGES TO SITE PLAN: PLACE OF WORSHIP - SMALL (NEW STAIRS & RAMP),C2280,PLACE OF WORSHIP - SMALL,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2025-08-25T00:00:00.000,2025-11-07T00:00:00.000,2025-12-11T00:00:00.000,2027-11-07T00:00:00.000,Approval,Development Authority,HPK,HIGHLAND PARK,4,NW,51.084,-114.071,2,Titled Parcel;Building,458 35 AV NW;458 35 AV NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.071232,51.0842884],[-114.0712189,51.0844276]]}","MULTIPOINT ((-114.07123196618336 51.08428842466935),(-114.07121894908813 51.084427646678876))",,,,,
