point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2010-1461,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,HOME OCCUPATION - CLASS 2: HANDICAP AUTO EQUIPPING (3 YEARS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2010-04-20T00:00:00.000,2010-05-11T00:00:00.000,2010-06-08T00:00:00.000,2012-05-11T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034154221057314,-113.99122655008739,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT (-113.99122655008739 51.034154221057314,-113.9911514259156 51.03409004656181)",,,,,
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2013-0773,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,HOME OCCUPATION - CLASS 2: HANDICAP AUTO EQUIPPING (5 YEARS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2013-02-26T00:00:00.000,2013-04-05T00:00:00.000,2013-04-29T00:00:00.000,2015-04-05T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034154221057314,-113.99122655008739,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT (-113.99122655008739 51.034154221057314,-113.9911514259156 51.03409004656181)",,,,,
"{'type': 'Point', 'coordinates': [-114.18205480529157, 51.046460228333046]}",DP2011-2086,12 STRATHAVEN CI SW,HEALTH RESULTS,Home Occupation Class 2,HOME OCCUPATION - CLASS 2: MICRO-CURRENT FACELIFT (3 YEARS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Expired,2011-06-08T00:00:00.000,2011-07-05T00:00:00.000,2011-08-02T00:00:00.000,2012-07-05T00:00:00.000,Approval,Development Authority,STR,STRATHCONA PARK,6,SW,51.046460228333046,-114.18205480529157,2,Titled Parcel;Building,12 STRATHAVEN CI SW;12 STRATHAVEN CI SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1820548,51.0464602],[-114.1818367,51.046419]]}","MULTIPOINT (-114.18205480529157 51.046460228333046,-114.18183671885966 51.04641899027774)",,,,,
"{'type': 'Point', 'coordinates': [-114.05432327012257, 51.073469935794314]}",DP1999-1597,436 23 AV NE,,,CONVERTED JOB - ADD BSMT LEVEL ENTRY AND JULIETTE BALCONY,B8172,SINGLE-DETACHED DWELLING,Discretionary,R-2,RESIDENTIAL LOW DENSITY DISTRICT,Cancelled,1999-05-18T00:00:00.000,,,,N/A,Development Authority,WIN,WINSTON HEIGHTS/MOUNTVIEW,7,NE,51.073469935794314,-114.05432327012257,1,Titled Parcel,436 23 AV NE,"{""type"":""Point"",""coordinates"":[-114.0543233,51.0734699]}",POINT (-114.05432327012257 51.073469935794314),1999-05-31T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.09290787204802, 50.998159985336834]}",DP2002-0711,1416 BEVERLEY PL SW,,,ADDITION TO DWELLING (ELEVATOR & SECOND STOREY),B8172,SINGLE-DETACHED DWELLING,Permitted,RR-1,RESTRICTED RESIDENTIAL SINGLE-DETACHED DISTRICT,Cancelled,2002-03-18T00:00:00.000,,,,,,BEL,BEL-AIRE,11,SW,50.998159985336834,-114.09290787204802,1,Titled Parcel,1416 BEVERLEY PL SW,"{""type"":""Point"",""coordinates"":[-114.0929079,50.99816]}",POINT (-114.09290787204802 50.998159985336834),2002-03-22T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.05066164020191, 50.93461917119316]}",DP2004-1829,111 LAKE TAHOE GR SE,PRIDE CONSTRUCTION,Relaxation - New - Residential,REAR YARD  RELAXATION FOR DECK (WITH WHEEL CHAIR RAMP),B8172,SINGLE-DETACHED DWELLING,Permitted with a Relaxation,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Released,2004-06-23T00:00:00.000,2004-06-29T00:00:00.000,2004-07-26T00:00:00.000,2005-06-29T00:00:00.000,Approval,Development Authority,LKB,LAKE BONAVISTA,14,SE,50.93461917119316,-114.05066164020191,2,Titled Parcel;Building,111 LAKE TAHOE GR SE;111 LAKE TAHOE GR SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0506616,50.9346192],[-114.050793,50.9344897]]}","MULTIPOINT (-114.05066164020191 50.93461917119316,-114.05079301293102 50.93448974940585)",,,,,
"{'type': 'Point', 'coordinates': [-114.06477883714284, 51.02937850034495]}",DP1995-2379,105 26 AV SW,,,CONVERTED JOB - WHEELCHAIR RAMP,B1300,APARTMENT BUILDING,Discretionary,DC,DIRECT CONTROL DISTRICT,Lapsed,1995-06-14T00:00:00.000,1995-07-13T00:00:00.000,,1996-07-13T00:00:00.000,Approval,Development Authority,MIS,MISSION,11,SW,51.02937850034495,-114.06477883714284,1,Titled Parcel,105 26 AV SW,"{""type"":""Point"",""coordinates"":[-114.0647788,51.0293785]}",POINT (-114.06477883714284 51.02937850034495),,,,,
"{'type': 'Point', 'coordinates': [-114.13099631836185, 51.09285728180203]}",DP2004-2256,23 BRADEN CR NW,,Relaxation - Existing - Residential,SKATEBOARD RAMP,B9996,OTHER RESIDENTIAL,Discretionary,R-1,RESIDENTIAL SINGLE-DETACHED DISTRICT,Refused,2004-07-30T00:00:00.000,2004-09-09T00:00:00.000,,2005-09-09T00:00:00.000,Refusal,Development Authority,BRE,BRENTWOOD,4,NW,51.09285728180203,-114.13099631836185,1,Titled Parcel,23 BRADEN CR NW,"{""type"":""Point"",""coordinates"":[-114.1309963,51.0928573]}",POINT (-114.13099631836185 51.09285728180203),2004-09-14T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.04352645952112, 51.0509277667895]}",DP2016-2334,830 MCDOUGALL RD NE,ZULUETA ARCHITECTURE,Residential - Multi-Family,"REVISION: MULTI-RESIDENTIAL DEVELOPMENT(GARBAGE ENCLOSURE RAMP, RETAINING WALLS,EXTERIOR FINISHES, 4TH FLOOR DECK, STEPS, IRRIGATION,)",C1572; C2050,EXTERIOR RENOVATIONS; MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2016-06-10T00:00:00.000,2016-09-09T00:00:00.000,2016-09-29T00:00:00.000,2018-09-07T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.05092776678949,-114.04352645952112,2,Titled Parcel;Building,830 MCDOUGALL RD NE;830 MCDOUGALL RD NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0435265,51.0509278],[-114.0434273,51.0510264]]}","MULTIPOINT (-114.04352645952112 51.05092776678949,-114.04342725598792 51.051026358032935)",,,,,
"{'type': 'Point', 'coordinates': [-114.15982251529657, 51.00957258276376]}",DP2016-2939,5010 50 ST SW,RICK BALBI ARCHITECT,Residential - Multi-Family - Renovations,ADDITION: MULTI-RESIDENTIAL DEVELOPMENT (ELEVATOR ON SOUTH ELEVATION),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2016-07-18T00:00:00.000,2016-08-18T00:00:00.000,2016-09-13T00:00:00.000,2018-08-18T00:00:00.000,Approval,Development Authority,GLA,GLAMORGAN,6,SW,51.00957258276376,-114.15982251529657,2,Titled Parcel;Building,5010 50 ST SW;5010 50 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1598225,51.0095726],[-114.1593984,51.0098184]]}","MULTIPOINT (-114.15982251529657 51.00957258276376,-114.15939838446603 51.009818403705594)",,,,,
