permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2017-05976,Completed,2017-05-24T00:00:00.000,2017-06-07T00:00:00.000,2017-08-30T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Barclay 7th Floor Elevator Lobby Renovation,PERSIMMON CONTRACTING,0,50000,#700 444 7 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04683336015771,-114.0709062496282,3,Titled Parcel;Building;Building Suite,444 7 AV SW;444 7 AV SW;#700 444 7 AV SW,"MULTIPOINT (-114.0709062496282 51.04683336015771,-114.07090280385107 51.04698639444074,-114.07090280385107 51.04698639444074)","{""type"":""MultiPoint"",""coordinates"":[[-114.0709062,51.0468334],[-114.0709028,51.0469864],[-114.0709028,51.0469864]]}","{'type': 'Point', 'coordinates': [-114.0709062496282, 51.04683336015771]}",PERSIMMON CONTRACTING
BP2017-04850,File Closed,2017-05-03T00:00:00.000,2017-05-15T00:00:00.000,2018-06-18T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,"New M/F Barrier-Free Washrooms within warehouse Building D, #6319.",FORM 3 DESIGN 2004,0,14000,6319 36 ST SE,FHI,FOOTHILLS,50.99757557861443,-113.98100512854867,3,Titled Parcel;Building;Entryway,6315 36 ST SE;6315 36 ST SE;6319 36 ST SE,"MULTIPOINT (-113.98100512854867 50.99757557861443,-113.98184774538419 50.997140641892486,-113.98126339927636 50.99739386441478)","{""type"":""MultiPoint"",""coordinates"":[[-113.9810051,50.9975756],[-113.9818477,50.9971406],[-113.9812634,50.9973939]]}","{'type': 'Point', 'coordinates': [-113.98100512854867, 50.99757557861443]}",
BP2003-11859,Completed,2003-09-11T00:00:00.000,2005-01-03T00:00:00.000,2007-03-06T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,adding exterior handicap access ramp,,0,2500,9504 2 ST SE,ACA,ACADIA,50.968454491736914,-114.06495773552857,1,Titled Parcel,9504 2 ST SE,POINT (-114.06495773552857 50.968454491736914),"{""type"":""Point"",""coordinates"":[-114.0649577,50.9684545]}","{'type': 'Point', 'coordinates': [-114.06495773552857, 50.968454491736914]}",
BP2022-11485,Issued Permit,2022-06-30T00:00:00.000,2022-08-13T00:00:00.000,,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Overhead Door and Exterior Ramp Expansion,WORKS OF ARCHITECTURE,0,19000,#128 1220 28 ST NE,FRA,FRANKLIN,51.0620365189874,-113.99311648302334,3,Titled Parcel;Building;Building Suite,1220 28 ST NE;1220 28 ST NE;#128 1220 28 ST NE,"MULTIPOINT (-113.99311648302334 51.0620365189874,-113.99254013868897 51.062659488219815,-113.99261641671147 51.06285768909276)","{""type"":""MultiPoint"",""coordinates"":[[-113.9931165,51.0620365],[-113.9925401,51.0626595],[-113.9926164,51.0628577]]}","{'type': 'Point', 'coordinates': [-113.99311648302334, 51.0620365189874]}",
BP2023-16635,Hold - Pending Plans Review,2023-09-27T00:00:00.000,,,Commercial / Multi Family Project,Building,6399 - Municipal/Commercial Misc.,Government,Non-Residential,Fire/ Security Alarm,Unspecified,,Spring Gardens - Fire Alarm Elevator Modernization,SELETECH ELECTRICAL*,0,42762,801 40 AV NE,GRI,GREENVIEW INDUSTRIAL PARK,51.087182051369204,-114.0465362678639,9,Titled Parcel;Building;Entryway;Entryway;Entryway;Entryway;Entryway;Entryway;Entryway,840 32 AV NE;928 32 AV NE;928A 32 AV NE;938 32 AV NE;900 32 AV NE;801C 40 AV NE;801 40 AV NE;883 32 AV NE;928B 32 AV NE,"MULTIPOINT (-114.0465362678639 51.087182051369204,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236,-114.04353027139828 51.083666126410236)","{""type"":""MultiPoint"",""coordinates"":[[-114.0465363,51.0871821],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661],[-114.0435303,51.0836661]]}","{'type': 'Point', 'coordinates': [-114.0465362678639, 51.087182051369204]}",
BP2022-02996,Completed,2022-02-28T00:00:00.000,2022-04-08T00:00:00.000,2022-12-09T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,Washroom accessibility upgrades,,0,500000,16210 MCKENZIE LAKE WY SE,MCK,MCKENZIE LAKE,50.906775077306015,-113.98434339708865,2,Titled Parcel;Building,16210 MCKENZIE LAKE WY SE;16210 MCKENZIE LAKE WY SE,"MULTIPOINT (-113.98434339708865 50.906775077306015,-113.98499738252998 50.90621793928234)","{""type"":""MultiPoint"",""coordinates"":[[-113.9843434,50.9067751],[-113.9849974,50.9062179]]}","{'type': 'Point', 'coordinates': [-113.98434339708865, 50.906775077306015]}",
BP2019-11639,Completed,2019-08-27T00:00:00.000,2019-08-30T00:00:00.000,2020-12-15T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,Enhancement to Accessibility of the stage and music room.,WORKS OF ARCHITECTURE,0,39000,3113 30 AV SE,DOV,DOVER,51.02682259325915,-113.99079712985699,2,Titled Parcel;Building,3113 30 AV SE;3113 30 AV SE,"MULTIPOINT (-113.99079712985699 51.02682259325915,-113.99064796365768 51.026329223325114)","{""type"":""MultiPoint"",""coordinates"":[[-113.9907971,51.0268226],[-113.990648,51.0263292]]}","{'type': 'Point', 'coordinates': [-113.99079712985699, 51.02682259325915]}",
BP2006-06991,Completed,2006-04-27T00:00:00.000,2006-05-03T00:00:00.000,2007-08-23T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,"Elevator and Lobby, Main and 2nd Floor",SHEARER LICENSED INTERIOR DESIGN,0,172000,521 3 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.05043679409187,-114.07272030716621,2,Titled Parcel;Building,521 3 AV SW;521 3 AV SW,"MULTIPOINT (-114.07272030716621 51.05043679409187,-114.07261086436404 51.0502860235213)","{""type"":""MultiPoint"",""coordinates"":[[-114.0727203,51.0504368],[-114.0726109,51.050286]]}","{'type': 'Point', 'coordinates': [-114.07272030716621, 51.05043679409187]}",
BP2013-00593,Completed,2013-01-18T00:00:00.000,2013-01-25T00:00:00.000,2013-02-22T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,interior renovation- ramp and door access,PARSONS BRINCKERHOFF HALSALL,0,12158.06,#8 1930 MAYNARD RD SE,MLI,MAYLAND,51.04718228400771,-114.00938010840461,3,Titled Parcel;Building;Building Suite,1930 MAYNARD RD SE;1930 MAYNARD RD SE;#8 1930 MAYNARD RD SE,"MULTIPOINT (-114.00938010840461 51.04718228400771,-114.00981793619385 51.04794066651187,-114.01044009459174 51.04798440156102)","{""type"":""MultiPoint"",""coordinates"":[[-114.0093801,51.0471823],[-114.0098179,51.0479407],[-114.0104401,51.0479844]]}","{'type': 'Point', 'coordinates': [-114.00938010840461, 51.04718228400771]}",
BP2013-07474,Completed,2013-05-29T00:00:00.000,2013-06-12T00:00:00.000,2015-10-08T00:00:00.000,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,Alteration,Improvement,Existing,New elevator car in existing shaft.,RONALCO CONTRACTING,0,150000,1020 8 AV SW,DNW,DOWNTOWN WEST END,51.04629779027741,-114.08530999481235,2,Titled Parcel;Building,1020 8 AV SW;1020 8 AV SW,"MULTIPOINT (-114.08530999481235 51.04629779027741,-114.08511765569231 51.04644590150376)","{""type"":""MultiPoint"",""coordinates"":[[-114.08531,51.0462978],[-114.0851177,51.0464459]]}","{'type': 'Point', 'coordinates': [-114.08530999481235, 51.04629779027741]}",RONALCO CONTRACTING
