point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.9413570079342, 50.983520310153494]}",DP2016-3673,#25 5805 76 AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR-4, RAMP)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2016-09-07T00:00:00.000,2016-10-13T00:00:00.000,2016-10-17T00:00:00.000,2018-10-13T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.983520310153494,-113.9413570079342,3,Titled Parcel;Building;Building Suite,7785 62 ST SE;5805 76 AV SE;#25 5805 76 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.941357,50.9835203],[-113.9439876,50.9825792],[-113.9446816,50.9843447]]}","MULTIPOINT (-113.9413570079342 50.983520310153494,-113.94398761628918 50.98257922418537,-113.94468160392447 50.98434468075855)",,,,,
"{'type': 'Point', 'coordinates': [-114.11917457780247, 50.90136952887542]}",DP2010-3384,2577 BRIDLECREST WY SW,Commercial - Other Areas,"ADDITION: MEDICAL CLINIC, FITNESS CENTRE (ELEVATOR ADDITION)",C1600; C1990,FITNESS CENTRE; MEDICAL CLINIC,Discretionary,C-C1,Commercial - Community 1,Lapsed,2010-08-25T00:00:00.000,2010-10-06T00:00:00.000,,2012-10-06T00:00:00.000,Approval,Development Authority,BRI,BRIDLEWOOD,13,SW,50.90136952887542,-114.11917457780247,1,Titled Parcel,2577 BRIDLECREST WY SW,"{""type"":""Point"",""coordinates"":[-114.1191746,50.9013695]}",POINT (-114.11917457780247 50.90136952887542),2012-10-08T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.94699838384409, 50.99668859473616]}",DP2015-5003,6335 57 ST SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - MEDIUM (EXTERIOR RAMPS, TRASH COMPACTOR, DUST COLLECTORS, FENCE)",C1686,GENERAL INDUSTRIAL - MEDIUM,Permitted,I-G,Industrial - General,Released,2015-12-02T00:00:00.000,2015-12-23T00:00:00.000,2015-12-29T00:00:00.000,2017-12-23T00:00:00.000,Approval,Development Authority,STD,STARFIELD,9,SE,50.996688594736156,-113.94699838384409,1,Titled Parcel,6335 57 ST SE,"{""type"":""Point"",""coordinates"":[-113.9469984,50.9966886]}",POINT (-113.94699838384409 50.996688594736156),,,,,
"{'type': 'Point', 'coordinates': [-114.0608702955408, 50.940904538108775]}",DP2011-0516,2500 LAKE BONAVISTA DR SE,Commercial - Other Areas,ADDITION: SCHOOL AUTHORITY - SCHOOL (EXTERIOR ELEVATOR ON FRONT ELEVATION),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2011-02-14T00:00:00.000,2011-04-18T00:00:00.000,2011-04-21T00:00:00.000,2013-04-18T00:00:00.000,Approval,Development Authority,LKB,LAKE BONAVISTA,14,SE,50.940904538108775,-114.06087029554078,1,Titled Parcel,2500 LAKE BONAVISTA DR SE,"{""type"":""Point"",""coordinates"":[-114.0608703,50.9409045]}",POINT (-114.06087029554078 50.940904538108775),,,,,
"{'type': 'Point', 'coordinates': [-114.13601534546694, 51.09997141431347]}",DP2005-2264,5215 33 ST NW,Commercial - Other Areas,EXTERIOR RENOVATIONS & ADDITION (ELEVATOR) TO PUBLIC SCHOOL,B7580,PUBLIC SCHOOL,Permitted,PE,"PUBLIC PARK, SCHOOL AND RECREATIONAL DISTRICT",Released,2005-06-30T00:00:00.000,2005-10-04T00:00:00.000,2005-10-06T00:00:00.000,2007-10-04T00:00:00.000,Approval,Development Authority,BRE,BRENTWOOD,4,NW,51.09997141431347,-114.13601534546694,1,Titled Parcel,5215 33 ST NW,"{""type"":""Point"",""coordinates"":[-114.1360153,51.0999714]}",POINT (-114.13601534546694 51.09997141431347),,,,,
"{'type': 'Point', 'coordinates': [-114.06103599748326, 50.99761808552384]}",DP1996-1529,239 61 AV SE,,CONVERTED JOB - LIVE MUSIC FOR THE RAMP RECREATION FACILITY,B5006,ENTERTAINMENT ESTABLISHMENT,Discretionary,I-2,GENERAL LIGHT INDUSTRIAL DISTRICT,Cancelled,1996-06-07T00:00:00.000,,,,N/A,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,50.99761808552384,-114.06103599748326,2,Titled Parcel;Building,207 61 AV SE;239 61 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.061036,50.9976181],[-114.060684,50.9974533]]}","MULTIPOINT (-114.06103599748326 50.99761808552384,-114.06068403004168 50.99745328792163)",1996-10-28T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.95808888875662, 50.97180460124332]}",DP2014-3107,9136 52 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - MEDIUM (NEW LOADING RAMP); EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - MEDIUM (ENLARGE BAY DOOR),C1686,GENERAL INDUSTRIAL - MEDIUM,Discretionary,I-G,Industrial - General,Released,2014-07-02T00:00:00.000,2014-08-15T00:00:00.000,2014-09-11T00:00:00.000,2016-08-15T00:00:00.000,Approval,Development Authority,S23,SECTION 23,12,SE,50.97180460124332,-113.95808888875662,3,Titled Parcel;Building;Entryway,9104 52 ST SE;9104 52 ST SE;9136 52 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9580889,50.9718046],[-113.9570168,50.9713156],[-113.9574686,50.9716108]]}","MULTIPOINT (-113.95808888875662 50.97180460124332,-113.95701684138238 50.97131564947956,-113.957468632601 50.97161076273489)",,,,,
"{'type': 'Point', 'coordinates': [-114.05993963246729, 51.078851509246]}",DP2016-3243,200 29 AV NE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (CORRECT DRAINAGE ISSUES), EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (NEW WHEELCHAIR RAMP, NORTH STAIRS, WEST WINDOWS, DECK, & REMOVE EXISTING VESITBULE AND WEST STAIRS)",C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-CS,Special Purpose - Community Service,Released,2016-08-08T00:00:00.000,2017-05-18T00:00:00.000,2017-06-14T00:00:00.000,2019-05-18T00:00:00.000,Approval,Development Authority,TUX,TUXEDO PARK,7,NE,51.078851509246,-114.05993963246729,2,Titled Parcel;Titled Parcel,200 29 AV NE;202 29 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0599396,51.0788515],[-114.0595131,51.0788607]]}","MULTIPOINT (-114.05993963246729 51.078851509246,-114.05951305212547 51.07886071685706)",,,,,
"{'type': 'Point', 'coordinates': [-114.0876043459266, 51.04009519687491]}",DP2012-0418,1121 14 AV SW,Commercial - Other Areas,"ADDITION: PLACE OF WORSHIP - MEDIUM (ELEVATOR ENCLOSURE, WHEEL-CHAIR RAMP)",C2270,PLACE OF WORSHIP - MEDIUM,Discretionary,CC-MH,Centre City Multi-Residential High Rise District,Released,2012-02-03T00:00:00.000,2012-03-08T00:00:00.000,2012-06-29T00:00:00.000,2014-03-08T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.04009519687491,-114.08760434592658,5,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building,1121 14 AV SW;1117 14 AV SW;1113 14 AV SW;1407 10 ST SW;1121 14 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0876043,51.0400952],[-114.0872256,51.0400865],[-114.0871157,51.0400788],[-114.0867817,51.0399814],[-114.0871884,51.0399587]]}","MULTIPOINT (-114.08760434592658 51.04009519687491,-114.0872255907197 51.04008645445785,-114.08711570925819 51.04007883220313,-114.08678174777944 51.03998136215185,-114.08718841955658 51.03995867502429)",,,,,
"{'type': 'Point', 'coordinates': [-114.07914782049772, 51.04588453448257]}",DP1996-0991,805 8 AV SW,,CONVERTED JOB - EXTERIOR RENOVATIONS AND INTERIOR RENOVATIONS TO ELEVATOR LOBBIES AND HALLWAYS,B6700,OFFICES,Discretionary,CM-2,DOWNTOWN BUSINESS DISTRICT,Cancelled,1996-04-23T00:00:00.000,,,,N/A,Development Authority,DNC,DOWNTOWN COMMERCIAL CORE,8,SW,51.04588453448257,-114.07914782049772,1,Titled Parcel,805 8 AV SW,"{""type"":""Point"",""coordinates"":[-114.0791478,51.0458845]}",POINT (-114.07914782049772 51.04588453448257),1996-04-30T00:00:00.000,,,,
