point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.0654016842492, 50.95076218780573]}",DP2023-03276,100 ANDERSON RD SE,Commercial - Other Areas,"ADDITION: INDOOR RECREATION FACILITY, CINEMA, DRINKING ESTABLISHMENT - LARGE, RESTAURANT: LICENSED (STAIR AND ELEVATOR)",C1320; C1480; C1770; C2485 ,CINEMA; DRINKING ESTABLISHMENT - LARGE; INDOOR RECREATION FACILITY; RESTAURANT: LICENSED,Discretionary,C-R2 f2.0,Commercial - Regional 2,Released,2023-05-19T00:00:00.000,2023-10-02T00:00:00.000,2023-10-26T00:00:00.000,2025-10-02T00:00:00.000,Approval,Development Authority,WIL,WILLOW PARK,11,SE,50.951,-114.065,2,Titled Parcel;Building,100 ANDERSON RD SE;100 ANDERSON RD SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0654017,50.9507622],[-114.0661672,50.952583]]}","MULTIPOINT ((-114.0654016842492 50.95076218780573),(-114.06616722489731 50.95258295313279))",,,,,
"{'type': 'Point', 'coordinates': [-114.08550428948574, 51.04726677736617]}",DP2023-05406,1040 7 AV SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: MULTI-USE COMMERCIAL (NEW ACCESSIBLE RAMP),B9999,OTHER,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2023-08-08T00:00:00.000,2023-09-20T00:00:00.000,2024-01-24T00:00:00.000,2026-09-20T00:00:00.000,Approval,Development Authority,DNW,DOWNTOWN WEST END,7,SW,51.047,-114.086,2,Titled Parcel;Building,1040 7 AV SW;1040 7 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0855043,51.0472668],[-114.0855073,51.0473998]]}","MULTIPOINT ((-114.08550428948574 51.04726677736617),(-114.08550732962966 51.04739979619328))",,,,,
"{'type': 'Point', 'coordinates': [-114.20085496960843, 51.15230927272965]}",DP2023-06078,#120 41 ROYAL VISTA DR NW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMP, PARKING CONFIGURATION AND NEW ENTRY DOOR)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,DC,Direct Control (1P2007),Released,2023-08-30T00:00:00.000,2023-10-19T00:00:00.000,2023-10-19T00:00:00.000,2026-10-19T00:00:00.000,Approval,Development Authority,RYV,ROYAL VISTA,1,NW,51.152,-114.201,3,Titled Parcel;Building;Building Suite,41 ROYAL VISTA DR NW;41 ROYAL VISTA DR NW;#120 41 ROYAL VISTA DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.200855,51.1523093],[-114.2002063,51.1525067],[-114.1998941,51.1525308]]}","MULTIPOINT ((-114.20085496960843 51.15230927272965),(-114.20020634340274 51.15250673503729),(-114.19989406996659 51.15253083076855))",,,,,
"{'type': 'Point', 'coordinates': [-113.95514018982368, 50.994363643764856]}",DP2018-2893,10 SMED LN SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (OVERHEAD DOOR & RAMP, MAN DOOR, NEW WINDOWS)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Cancelled,2018-06-15T00:00:00.000,,,,,,STD,STARFIELD,9,SE,50.994,-113.955,2,Titled Parcel;Building,10 SMED LN SE;10 SMED LN SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9551402,50.9943636],[-113.9540978,50.9961662]]}","MULTIPOINT ((-113.95514018982368 50.994363643764856),(-113.95409775808649 50.99616617226228))",2022-10-13T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.99690589620023, 51.052500041867475]}",DP2023-07862,2750 CENTRE AV NE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR); CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (LOADING RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2023-11-06T00:00:00.000,2023-12-28T00:00:00.000,2024-01-03T00:00:00.000,2025-12-28T00:00:00.000,Approval,Development Authority,MER,MERIDIAN,10,NE,51.053,-113.997,2,Titled Parcel;Building,2620 CENTRE AV NE;2750 CENTRE AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9969059,51.0525],[-113.9950764,51.0528372]]}","MULTIPOINT ((-113.99690589620023 51.052500041867475),(-113.9950764436912 51.052837219508085))",,,,,
"{'type': 'Point', 'coordinates': [-114.0833735616761, 50.99801035067983]}",DP2022-04414,6031 ELBOW DR SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: CHURCH (RAMP, STAIRS, MINOR PARKING STALL RECONFIGURATION)",B9997,OTHER COMMERCIAL,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2022-06-22T00:00:00.000,2022-08-08T00:00:00.000,2022-09-02T00:00:00.000,2025-08-08T00:00:00.000,Approval,Development Authority,BEL,BEL-AIRE,11,SW,50.998,-114.083,2,Titled Parcel;Building,6031 ELBOW DR SW;6031 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0833736,50.9980104],[-114.0838497,50.9982036]]}","MULTIPOINT ((-114.0833735616761 50.99801035067983),(-114.08384972223544 50.99820357845735))",,,,,
"{'type': 'Point', 'coordinates': [-114.01127232553141, 50.99105896586028]}",DP2023-08603,2110 69 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (NEW BARRIER FREE RAMP AND STAIRS); EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (REFURBISH BUILDING FACADE),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-CS,Special Purpose - Community Service,Released,2023-12-07T00:00:00.000,2024-04-18T00:00:00.000,2024-05-16T00:00:00.000,2026-04-18T00:00:00.000,Approval,Development Authority,OGD,OGDEN,9,SE,50.991,-114.011,2,Titled Parcel;Building,2110 69 AV SE;2110 69 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0112723,50.991059],[-114.010851,50.9914623]]}","MULTIPOINT ((-114.01127232553141 50.99105896586028),(-114.01085099148838 50.99146232484851))",,,,,
"{'type': 'Point', 'coordinates': [-114.10649064280548, 51.023306813579595]}",DP2022-05923,1934 34 AV SW,Renovations - Non-Residential,"REVISION: RETAIL AND CONSUMER SERVICE (ADDING LIFTS, CHANGES TO DP2021-8610)",C2515,RETAIL AND CONSUMER SERVICE,Permitted,MU-1 f3.0h16,Mixed Use - General,Released,2022-08-23T00:00:00.000,2022-09-26T00:00:00.000,2022-09-27T00:00:00.000,2024-09-26T00:00:00.000,Approval,Development Authority,SOC,SOUTH CALGARY,8,SW,51.023,-114.106,2,Titled Parcel;Building,1934 34 AV SW;1934 34 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1064906,51.0233068],[-114.106502,51.0233797]]}","MULTIPOINT ((-114.10649064280548 51.023306813579595),(-114.1065019992855 51.02337971924952))",,,,,
"{'type': 'Point', 'coordinates': [-114.04286603313211, 51.05301362644848]}",DP2023-04191,925 1 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: FITNESS CENTRE (NEW RAMP),C1600,FITNESS CENTRE,Permitted,MU-2 f3.0h16,Mixed Use - Active Frontage,Released,2023-06-22T00:00:00.000,2023-09-21T00:00:00.000,2023-12-11T00:00:00.000,2025-09-21T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.053,-114.043,3,Titled Parcel;Building;Entryway,118 8 ST NE;118 8 ST NE;925 1 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.042866,51.0530136],[-114.0423588,51.0530522],[-114.0420154,51.0530773]]}","MULTIPOINT ((-114.04286603313211 51.05301362644848),(-114.04235884142533 51.053052188469145),(-114.04201544948327 51.05307728585137))",,,,,
"{'type': 'Point', 'coordinates': [-114.06374573859456, 51.04449796075336]}",DP2014-0144,130 10 AV SE,Commercial - Downtown,"NEW: OFFICES, RETAIL STORE, PERSONAL SERVICE BUSINESS/ESTABLISHMENT (2 TOWERS, 2 PHASES); EXTERIOR RENOVATIONS: PARKADE RAMP (LANEWAY RECONFIGURATION & REFURBISHING); ADDITION: +30 WALKWAY (SOUTH ELEVATION)",B6700; B7115; B7880,OFFICES; PERSONAL SERVICE BUSINESS/ESTABLISHMENT; RETAIL STORE,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Lapsed,2014-01-15T00:00:00.000,2015-01-15T00:00:00.000,,2023-01-15T00:00:00.000,Approval,Calgary Planning Commission,DNC,DOWNTOWN COMMERCIAL CORE,7,SW,51.044,-114.064,7,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,131 9 AV SW;140 10 AV SE;130 10 AV SE;101 9 AV SW;104R 10 AV SE;120 10 AV SW;125 9 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0637457,51.044498],[-114.0612751,51.0433819],[-114.0623619,51.0434128],[-114.063134,51.0444822],[-114.0627577,51.0437177],[-114.0639597,51.0434594],[-114.0614194,51.0444336]]}","MULTIPOINT ((-114.06374573859456 51.04449796075336),(-114.06127513644084 51.04338192093176),(-114.06236194882321 51.04341281017715),(-114.06313398203307 51.04448217420993),(-114.06275772541655 51.04371766502502),(-114.06395968563909 51.043459394589085),(-114.06141944301343 51.04443364422881))",2023-01-20T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98120927563284, 50.98166691432618]}",DP2022-03040,3915 78 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT: NEW OVERHEAD DOOR AND RAMP,C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2022-05-04T00:00:00.000,2022-07-19T00:00:00.000,2022-07-21T00:00:00.000,2024-07-19T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.982,-113.981,3,Titled Parcel;Building;Entryway,8080 36 ST SE;8080 36 ST SE;3915 78 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9812093,50.9816669],[-113.9806536,50.9809328],[-113.9806536,50.9809328]]}","MULTIPOINT ((-113.98120927563284 50.98166691432618),(-113.98065358618301 50.980932776929144),(-113.98065358618301 50.980932776929144))",,,,,
"{'type': 'Point', 'coordinates': [-114.16176881638009, 51.09330013421464]}",DP2023-04707,5225 VARSITY DR NW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: SCHOOL AUTHORITY - SCHOOL (PARKING & RAMP),C2580,SCHOOL AUTHORITY - SCHOOL,Permitted,S-SPR,"Special Purpose - School, Park and Community Reserve",In Circulation,2023-07-13T00:00:00.000,,,,,,VAR,VARSITY,1,NW,51.093,-114.162,2,Titled Parcel;Building,5315 VARSITY DR NW;5225 VARSITY DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1617688,51.0933001],[-114.162965,51.0928118]]}","MULTIPOINT ((-114.16176881638009 51.09330013421464),(-114.16296502031892 51.09281179953153))",,,,,
"{'type': 'Point', 'coordinates': [-114.08550428948574, 51.04726677736617]}",DP2022-05841,1040 7 AV SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: OFFICES (NEW RAMP),B6700,OFFICES,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Cancelled,2022-08-19T00:00:00.000,,,,,,DNW,DOWNTOWN WEST END,7,SW,51.047,-114.086,1,Titled Parcel,1040 7 AV SW,"{""type"":""Point"",""coordinates"":[-114.0855043,51.0472668]}",POINT (-114.08550428948574 51.04726677736617),2022-12-06T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.20585822083814, 51.127037654414046]}",DP2022-03268,806 CROWFOOT CR NW,Outdoor Cafe,"CHANGES TO SITE PLAN: OUTDOOR CAFE, RELOCATE BARRIER FREE PARKING STALL; EXTERIOR RENOVATION: RESTAURANT: LICENSED (NEW DOOR) ",C2130,OUTDOOR CAFE,Discretionary,DC,Direct Control (1P2007),Released,2022-05-11T00:00:00.000,2022-05-27T00:00:00.000,2022-06-27T00:00:00.000,2025-05-27T00:00:00.000,Approval,Development Authority,ARB,ARBOUR LAKE,2,NW,51.127,-114.206,3,Titled Parcel;Building;Entryway,800 CROWFOOT CR NW;830 CROWFOOT CR NW;806 CROWFOOT CR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2058582,51.1270377],[-114.2067956,51.1269899],[-114.2065395,51.1272386]]}","MULTIPOINT ((-114.20585822083814 51.127037654414046),(-114.20679563898436 51.12698987489295),(-114.20653954392334 51.12723862068999))",,,,,
"{'type': 'Point', 'coordinates': [-114.0387551880991, 51.00195139913941]}",DP2023-06222,#A 1200 58 AV SE,Renovations - Non-Residential,"ADDITION: OFFICE (ENTRANCE), CHANGES TO SITE PLAN: OFFICE (ENTRANCE RAMP, PARKING LAYOUT)",C2110,OFFICE,Discretionary,I-C,Industrial - Commercial,Released,2023-09-05T00:00:00.000,2023-10-02T00:00:00.000,2023-10-27T00:00:00.000,2025-10-02T00:00:00.000,Approval,Development Authority,BUR,BURNS INDUSTRIAL,9,SE,51.002,-114.039,3,Titled Parcel;Building;Building Suite,1200 58 AV SE;1200 58 AV SE;#A 1200 58 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0387552,51.0019514],[-114.0386488,51.0023192],[-114.0386488,51.0023192]]}","MULTIPOINT ((-114.0387551880991 51.00195139913941),(-114.03864877980537 51.002319153138885),(-114.03864877980537 51.002319153138885))",,,,,
"{'type': 'Point', 'coordinates': [-114.0656364872691, 51.041328139800925]}",DP2023-07408,1202 1 ST SW,Commercial - Downtown,"CHANGE OF USE: RESTAURANT: LICENSED, DRINKING ESTABLISHMENT - MEDIUM, OFFICE, OUTDOOR CAFE WITH ADDITION TO BUILDING (STAIRS AND ELEVATOR).",C1490; C2110; C2130; C2485 ,DRINKING ESTABLISHMENT - MEDIUM; OFFICE; OUTDOOR CAFE; RESTAURANT: LICENSED,Discretionary,CC-COR,Centre City Commercial Corridor District,Released,2023-10-19T00:00:00.000,2024-04-09T00:00:00.000,2024-05-27T00:00:00.000,2027-04-09T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.041,-114.066,1,Titled Parcel,1202 1 ST SW,"{""type"":""Point"",""coordinates"":[-114.0656365,51.0413281]}",POINT (-114.0656364872691 51.041328139800925),,,,,
"{'type': 'Point', 'coordinates': [-113.97969916016339, 51.15113719836175]}",DP2022-05093,#2162 3730 108 AV NE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT: NEW VEHICLE BAY DOORS (2), PERSONNEL DOORS (2), LOADING STALL, RAMP & STAIRS WITH RAILING; ADDITION: GENERAL INDUSTRIAL - LIGHT (MEZZANINE)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,DC,Direct Control (1P2007),Released,2022-07-20T00:00:00.000,2022-12-30T00:00:00.000,2022-12-30T00:00:00.000,2025-12-30T00:00:00.000,Approval,Development Authority,ST3,STONEY 3,5,NE,51.151,-113.980,4,Titled Parcel;Building;Building Suite;Building Suite,3730 108 AV NE;#1000 3730 108 AV NE;#2166 3730 108 AV NE;#2162 3730 108 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9796992,51.1511372],[-113.980374,51.1512754],[-113.9798396,51.1519015],[-113.9798317,51.1518254]]}","MULTIPOINT ((-113.97969916016339 51.15113719836175),(-113.98037397855022 51.151275438249776),(-113.97983960283086 51.15190145279929),(-113.97983174591234 51.15182536374547))",,,,,
"{'type': 'Point', 'coordinates': [-113.99504806232339, 51.004251162732174]}",DP2022-05358,2705 57 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (REFURBISH BUILDING FACADE); CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMPS); ,C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2022-07-28T00:00:00.000,2022-09-16T00:00:00.000,2022-10-13T00:00:00.000,2024-09-16T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.004,-113.995,3,Titled Parcel;Building;Entryway,2807 57 AV SE;2807 57 AV SE;2705 57 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9950481,51.0042512],[-113.9956713,51.0037772],[-113.9956713,51.0037772]]}","MULTIPOINT ((-113.99504806232339 51.004251162732174),(-113.99567125199215 51.003777236444506),(-113.99567125199215 51.003777236444506))",,,,,
"{'type': 'Point', 'coordinates': [-113.97028246248809, 50.99465807430356]}",DP2022-03509,#B 6839 44 ST SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW LOADING DOCK RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2022-05-19T00:00:00.000,2022-07-19T00:00:00.000,2022-07-25T00:00:00.000,2024-07-19T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.995,-113.970,5,Titled Parcel;Building;Building Suite;Building Suite;Building Suite,6839 44 ST SE;6839 44 ST SE;#B 6839 44 ST SE;#A 6839 44 ST SE;#C 6839 44 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9702825,50.9946581],[-113.9709397,50.9944937],[-113.9709397,50.9944937],[-113.9709397,50.9944937],[-113.9709397,50.9944937]]}","MULTIPOINT ((-113.97028246248809 50.99465807430356),(-113.97093969967369 50.99449370810759),(-113.97093969967369 50.99449370810759),(-113.97093969967369 50.99449370810759),(-113.97093969967369 50.99449370810759))",,,,,
"{'type': 'Point', 'coordinates': [-114.20085496960843, 51.15230927272965]}",DP2023-04827,#120 41 ROYAL VISTA DR NW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMP AND PARKING CONFIGURATION),C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,DC,Direct Control (1P2007),Cancelled,2023-07-18T00:00:00.000,,,,,,RYV,ROYAL VISTA,1,NW,51.152,-114.201,3,Titled Parcel;Building;Building Suite,41 ROYAL VISTA DR NW;41 ROYAL VISTA DR NW;#120 41 ROYAL VISTA DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.200855,51.1523093],[-114.2002063,51.1525067],[-114.2006891,51.1525535]]}","MULTIPOINT ((-114.20085496960843 51.15230927272965),(-114.20020634340274 51.15250673503729),(-114.20068912043922 51.15255348060255))",2023-07-26T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.00638183240923, 51.05232460903686]}",DP2016-5293,2015 CENTRE AV SE,Change of Use - With Change to Site Plan,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL MEDIUM (REDUCING BUILDING FOOTPRINT); CHANGES TO SITE PLAN: GENERAL INDUSTRIAL MEDUIM (WHEEL CHAIR RAMP, LANDSCAPING)",C1686,GENERAL INDUSTRIAL - MEDIUM,Discretionary,I-G,Industrial - General,Cancelled,2016-12-28T00:00:00.000,2017-06-15T00:00:00.000,,2019-06-15T00:00:00.000,Approval,Development Authority,MLI,MAYLAND,10,SE,51.052,-114.006,1,Titled Parcel,2015 CENTRE AV SE,"{""type"":""Point"",""coordinates"":[-114.0063818,51.0523246]}",POINT (-114.00638183240923 51.05232460903686),2022-10-04T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.11238968298169, 51.086268001625776]}",DP2023-03846,2244 CHICOUTIMI DR NW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (NEW DECK & VERTICAL PLATFORM LIFT),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2023-06-09T00:00:00.000,2023-07-21T00:00:00.000,2023-12-04T00:00:00.000,2025-07-21T00:00:00.000,Approval,Development Authority,CHW,CHARLESWOOD,4,NW,51.086,-114.112,3,Titled Parcel;Building;Building,2244 CHICOUTIMI DR NW;2244 CHICOUTIMI DR NW;2244 CHICOUTIMI DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1123897,51.086268],[-114.111714,51.0863632],[-114.1108786,51.0862762]]}","MULTIPOINT ((-114.11238968298169 51.086268001625776),(-114.11171398107605 51.08636317561956),(-114.11087860630496 51.08627624062816))",,,,,
"{'type': 'Point', 'coordinates': [-114.09506519138345, 50.94276337545148]}",DP2023-05179,12501 14 ST SW,Change of Use - With Change to Site Plan,EXTERIOR RENOVATIONS: RESTAURANT: LICENSED (NEW WINDOW AND DOOR); CHANGE TO SITE PLAN (NEW BARRIER FREE CURB LET DOWN),C2485 ,RESTAURANT: LICENSED,Discretionary,S-R,Special Purpose - Recreation,Released,2023-07-31T00:00:00.000,2023-09-08T00:00:00.000,2023-10-05T00:00:00.000,2025-09-08T00:00:00.000,Approval,Development Authority,WOO,WOODLANDS,13,SW,50.943,-114.095,2,Titled Parcel;Building,12501 14 ST SW;12501 14 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0950652,50.9427634],[-114.0960477,50.9412074]]}","MULTIPOINT ((-114.09506519138345 50.94276337545148),(-114.09604768551132 50.94120740071973))",,,,,
"{'type': 'Point', 'coordinates': [-113.97240371265194, 51.03804583026628]}",DP2022-00442,4306 17 AV SE,Change of Use - With Change to Site Plan,"CHANGE OF USE: RETAIL AND CONSUMER SERVICE; EXTERIOR RENOVATIONS: RETAIL AND CONSUMER SERVICE; CHANGES TO SITE PLAN: RETAIL AND CONSUMER SERVICE (REMOVAL OF STAIRS, NEW RAMP, STAIRS, PLANTERS, GRADE CHANGES AND BICYCLE PARKING)",C2515,RETAIL AND CONSUMER SERVICE,Permitted with a Relaxation,MU-2 f4.5h20,Mixed Use - Active Frontage,Released,2022-01-24T00:00:00.000,2022-05-24T00:00:00.000,2022-06-28T00:00:00.000,2024-05-20T00:00:00.000,Approval,Development Authority,FLN,FOREST LAWN,9,SE,51.038,-113.972,2,Titled Parcel;Building,4306 17 AV SE;4306 17 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9724037,51.0380458],[-113.9724036,51.0381356]]}","MULTIPOINT ((-113.97240371265194 51.03804583026628),(-113.9724036022923 51.03813560181915))",,,,,
"{'type': 'Point', 'coordinates': [-114.041422945667, 51.01100346577985]}",DP2022-02817,917B 48 AV SE,Industrial - Other Areas,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT - NEW LOADING DOCK RAMP,C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Cancelled,2022-04-26T00:00:00.000,,,,,,HIF,HIGHFIELD,9,SE,51.011,-114.041,3,Titled Parcel;Building;Building Suite,931 48 AV SE;931 48 AV SE;917B 48 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0414229,51.0110035],[-114.0414107,51.0108228],[-114.041905,51.0107653]]}","MULTIPOINT ((-114.041422945667 51.01100346577985),(-114.04141070055537 51.01082281138366),(-114.04190503180297 51.010765262335354))",2022-10-06T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.03247552492518, 51.08345082121351]}",DP2023-07441,#A 1225 34 AV NE,Renovations - Non-Residential,"REVISION: CHILD CARE SERVICE (WINDOWS, DOORS, CANOPIES); CHANGES TO SITE PLAN: CHILD CARE SERVICE (RAMP, OUTDOOR PLAY AREA RECONFIGURATION)     ",C1310,CHILD CARE SERVICE,Discretionary,I-G,Industrial - General,Released,2023-10-20T00:00:00.000,2024-01-24T00:00:00.000,2024-02-23T00:00:00.000,2026-01-24T00:00:00.000,Approval,Development Authority,MCI,MCCALL,10,NE,51.083,-114.032,3,Titled Parcel;Building;Building Suite,1225 34 AV NE;1225 34 AV NE;#A 1225 34 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0324755,51.0834508],[-114.0329729,51.0830857],[-114.0329729,51.0830857]]}","MULTIPOINT ((-114.03247552492518 51.08345082121351),(-114.03297291987252 51.08308568325861),(-114.03297291987252 51.08308568325861))",,,,,
"{'type': 'Point', 'coordinates': [-114.074350860913, 50.98313705070583]}",DP2022-06499,505 78 AV SW,Change of Use - With Change to Site Plan,EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (BARRIER FREE RAMP AND RAILINGS); CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (VESTIBULE),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-SPR,"Special Purpose - School, Park and Community Reserve",Released,2022-09-14T00:00:00.000,2022-11-17T00:00:00.000,2022-12-19T00:00:00.000,2024-11-17T00:00:00.000,Approval,Development Authority,KIN,KINGSLAND,11,SW,50.983,-114.074,2,Titled Parcel;Building,505 78 AV SW;505 78 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0743509,50.9831371],[-114.074004,50.9829379]]}","MULTIPOINT ((-114.074350860913 50.98313705070583),(-114.07400395705773 50.98293790350998))",,,,,
"{'type': 'Point', 'coordinates': [-114.08247920743025, 51.00977413633622]}",DP2022-03171,820 49 AV SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: RESTAURANT: FOOD SERVICE ONLY - (STAIRS & RAMP, LANDSCAPING); EXTERIOR RENOVATIONS: RESTAURANT: FOOD SERVICE ONLY (NEW DOOR, REFURBISH BUILDING FA�ADE)",C2465,RESTAURANT: FOOD SERVICE ONLY,Permitted,C-COR1 f1.0h10,Commercial - Corridor 1,Released,2022-05-09T00:00:00.000,2022-07-04T00:00:00.000,2022-07-04T00:00:00.000,2024-07-04T00:00:00.000,Approval,Development Authority,BRT,BRITANNIA,8,SW,51.010,-114.082,3,Titled Parcel;Building;Entryway,814 49 AV SW;818 49 AV SW;820 49 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0824792,51.0097741],[-114.0827799,51.0098487],[-114.0827554,51.0097748]]}","MULTIPOINT ((-114.08247920743025 51.00977413633622),(-114.08277989917231 51.0098486827867),(-114.08275544297746 51.009774750105464))",,,,,
"{'type': 'Point', 'coordinates': [-113.96262703817126, 50.98967329844024]}",DP2022-07190,5020 72 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: OFFICE (EXTERIOR RAMP AND BAY DOOR),C2110,OFFICE,Discretionary,I-G,Industrial - General,Released,2022-10-13T00:00:00.000,2023-01-13T00:00:00.000,2023-05-29T00:00:00.000,2025-01-13T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.990,-113.963,2,Titled Parcel;Building,4920 72 AV SE;5020 72 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.962627,50.9896733],[-113.9626541,50.9904534]]}","MULTIPOINT ((-113.96262703817126 50.98967329844024),(-113.96265413046976 50.99045342553167))",,,,,
