OBJECTID_1,join_OBJECTID,CUSTOMFOLDERNUMBER,FOLDERDESCRIPTION,FOLDERNAME,FOLDERTYPE,Subtype,Worktype,INDATE,ISSUEDATE,PROPERTYRSN,Status,Construction_Value,Dwelling_Units_Created,GFA,GFA__Accessory_Unit_,GFA__Basements_Alterations_,Infill_Lot,ConstructionStartDate,UnitsDemolished,AdjustedWorktype,StatusGroup,GlobalID,Number_of_Storeys,LEGALDESC,latitude,longitude
25189,2539320,2017 001064 000 00 TH,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.532) with shared covered driveway and garage ramp",10 Maple Grove Drive Unit 7,TH,Row House - Condominium,New Const.,1496793600000,2017-12-13,114503,Closed,527170,1,216.02,,,No,1516838400000,,New Construction,Closed,5c4d181d-8b38-46da-86d9-293f0499a99d,,"CON 4 SDS PT LOT 6 & WATER LOT IN FRONT OF LOT 6 RP 20R3606 PARTS 1,2 RP 20R10812 PART 1",43.46655732091814,-79.64439563575328
25190,2539320,2017 001065 000 00 TH,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and garage ramp",10 Maple Grove Drive Unit 8,TH,Row House - Condominium,New Const.,1496793600000,2017-12-13,114503,Closed,527170,1,215.27,,,No,1516838400000,,New Construction,Closed,b9b0b680-1163-4097-84ae-68beecfe59e4,,"CON 4 SDS PT LOT 6 & WATER LOT IN FRONT OF LOT 6 RP 20R3606 PARTS 1,2 RP 20R10812 PART 1",43.46655732091814,-79.64439563575328
25191,2539320,2017 001066 000 00 TH,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and garage ramp",10 Maple Grove Drive Unit 9,TH,Row House - Condominium,New Const.,1496793600000,2017-12-13,114503,Closed,508595,1,206.14,,,No,1516838400000,,New Construction,Closed,03f779ee-72a6-45aa-8262-bad44772a11d,,"CON 4 SDS PT LOT 6 & WATER LOT IN FRONT OF LOT 6 RP 20R3606 PARTS 1,2 RP 20R10812 PART 1",43.46655732091814,-79.64439563575328
25391,2494116,2021 110071 000 00 RA,"Installation of residential elevator serving the basement, 1st &amp; 2nd floors .  No GFA added.",2394 Valleyridge Dr,RA,Single Family Detached Dwelling,Alt./Improve,1619395200000,2021-06-14,80439,Closed,43000,0,5,,,No,,,Renovation & Repair,Closed,3ecf7770-c397-481a-91a7-524b88f92884,,PLAN M909 LOT 126,43.42807533910917,-79.77091956621672
25451,2511113,2025 126209 000 00 BDP,"Construction of a two storey single dwelling, finished basement with side yard basement walk-up, elevator, gas fireplaces, attached garage, front and rear covered porches and skylights on main roof.",162 Westdale Road,BDP,House - Part 9 - Detached House,New Construction,1761609600000,2026-02-18,6276,Issued,180000,1,587.75,323.75,0,Yes,1775606400000,,New Construction,Permit Issued,9de97a41-8038-46f4-a537-7d37f64832a5,2,PLAN 564 LOT 25 PT LOT 24,43.421770656022844,-79.68591647844595
25533,2490279,2020 001317 REV 01 RA,"Basement: Enlarge basement windows W/window wells, reinforce east wall and update elevator details
First floor: Interior alterations to the kitchen area and elevator area. Changes to windows.
Second floor: Interior alterations to washrooms and changes to windows
Pool house: Relocating the W.C and changes to windows.",401 Lakeshore Rd W,RA,Single Family Detached Dwelling,Alt./Improve,1633046400000,2021-12-08,30870,Closed,0,0,180,,,No,,,Renovation & Repair,Closed,16393f4c-f5e5-48f7-8b8e-dd3e1636a5fe,,PLAN 348 PT LOT 4   ,43.431381141616754,-79.68455920063066
25826,2553845,2023 153950 000 00 RN,"REPEAT 23-139123, TBSD4222&ndash; 5 bedrooms (incl bsmt bdrm)
Construction of a 3-storey detached dwelling (2 story w/Loft) includes partially finished basement; gas fireplace on main level, double car garage, and a rear 3rd floor balcony.	
Lot 52, elev. B &ndash; options chosen:  fin. Basement Bedroom w/3pce Bath, Elevator, 3rd Flr Loft Retreat and Extended ceiling on Main 10&rsquo; and 2nd 9&rsquo;  &ndash; with Deck.",3351 Preserve Dr,RN,Single Family Detached Dwelling,New Const.,1700784000000,2025-01-15,124631,Closed,400000,1,310.68,76.01,0,No,1741305600000,,New Construction,Closed,4ee76cae-eb4b-47e8-8a4e-3453e4c3c7fb,3,PLAN M1272 LOT 52,43.48397150691838,-79.7424740087077
26697,2518792,2018 000126 000 00 AA,Remove existing steps and install a new wheelchair lift from parking garage to basement level of apartment building.  (20.00m2).  No additional GFA. ,2300 Marine Drive,AA,Condominium Apartment,Alt./Improve,1517443200000,2018-04-06,12762,Closed,80000,0,20,,,No,,,Renovation & Repair,Closed,002b2d26-a0a5-4da0-89c1-3e2d044ad630,,PLAN M8 PT LOT 114 RP 20R2075 PART 1  ,43.397310045166265,-79.70567399736997
26752,2556446,2015 001140 REV 01 TH,Revision to permit: Change to foundation design incl. elevator shaft update,82 Trafalgar Road,TH,Row or Town House,Alt./Improve,1499385600000,2017-08-03,106525,Revoked,0,0,0,,,No,,,Renovation & Repair,Revoked,0469b0d6-ee50-4b2f-afb9-64e830f5385f,,PLAN 1 BLK 16 PT LOT C RP 20R22866 PART 3,43.44661580305738,-79.66554655723564
27021,2512069,2014 001785 REV 02 RA,Revision to permit: Change to interior guards / handrails,100 Lisonally Court,RA,Single Family Detached Dwelling,Alt./Improve,1484784000000,2017-01-23,60629,Closed,0,0,0,,,No,,,Renovation & Repair,Closed,ad4d8d34-aeeb-4ada-a49b-85beb63aa100,,PLAN M651 LOT 23   ,43.41767667193558,-79.68628854483505
