city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
282441377-001,Major Development Permit,Permitted Development,2018-05-16T00:00:00.000,Approved,"To Construct a Temporary Accessory Structure (Wheelchair Ramp) from May 16th, 2018 to September 12th, 2018",7000 - 143 STREET NW,Plan 8521469 Blk A,5401,RIVER VALLEY FORT EDMONTON,River Valley,pihêsiwin Ward,A1,3,53.50147604980344,-113.57860633290679,"{'latitude': '53.50147604980344', 'longitude': '-113.57860633290679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57860633290679, 53.50147604980344]}",
290585139-001,Major Development Permit,Not Available,,Other,"To construct exterior upgrades to existing commercial building (lighting, landscaping, signage, privacy screens, replacement of concrete steps/handrail, replacement of windows/doors/siding, add awning)",10003 - 80 AVENUE NW,Plan I17 Blk 41 Lot 15,6610,RITCHIE,Redeveloping,papastew Ward,BE,3,53.5158401027106,-113.48895411078672,"{'latitude': '53.5158401027106', 'longitude': '-113.48895411078672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48895411078672, 53.5158401027106]}",Old Strathcona
475542976-002,Major Development Permit,Not Available,,Other,To construct interior alterations to an Extended Medical Treatment Service building (modernization of elevators in the atrium of the Royal Alexandra Hospital),10240 - KINGSWAY NW,Plan 1619KS Blk 2 Lot 313,1030,CENTRAL MCDOUGALL,Redeveloping,O-day'min Ward,UF,3,53.55740028240453,-113.49815574329435,"{'latitude': '53.55740028240453', 'longitude': '-113.49815574329435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49815574329435, 53.55740028240453]}",Kingsway
404437612-002,Major Development Permit,Not Available,,Other,To construct exterior alterations to a General Contractor Service (wheelchair ramp),11405 - 163 STREET NW,Plan 1124977 Blk 25A Lot 1,4010,ALBERTA PARK INDUSTRIAL,Industrial,Nakota Isga Ward,BE,3,53.56391334881822,-113.60152665224612,"{'latitude': '53.56391334881822', 'longitude': '-113.60152665224612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.60152665224612, 53.56391334881822]}",
367441738-002,Major Development Permit,Permitted Development,2020-07-17T00:00:00.000,Approved,To construct exterior alterations (accessibility ramp in front of the building and loading ramp behind the building) and interior alterations to a General Industrial Use building.,9503 - 49 STREET NW,Plan 7622073 Blk 4 Lot 3,6180,EASTGATE BUSINESS PARK,Industrial,Métis Ward,BE,3,53.535902815690264,-113.41327329930378,"{'latitude': '53.535902815690264', 'longitude': '-113.41327329930378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41327329930378, 53.535902815690264]}",
172029229-001,Major Development Permit,Permitted Development,2015-05-20T00:00:00.000,Approved,To construct exterior alterations to a General Industrial use Building (constructing a 7.32m x 9.14 ramp at the rear of bay 9/107).,"106, 13428 - 149 STREET NW",Plan 1222973 Blk 5 Lot 3A,4320,MISTATIM INDUSTRIAL,Industrial,Anirniq Ward,IM,3,53.593828487957694,-113.5821796350518,"{'latitude': '53.593828487957694', 'longitude': '-113.5821796350518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5821796350518, 53.593828487957694]}",
181647396-001,Major Development Permit,Discretionary Development,2015-12-03T00:00:00.000,Approved,To construct exterior alterations (wheelchair ramp) and interior alterations (installation of an elevator) to an existing Religious Assembly building (St. Francis of Assisi).,6770 - 129 AVENUE NW,Plan 2320485 Blk 19 Lot 51,2020,,,,,6,53.5881230096497,-113.44518722701868,"{'latitude': '53.5881230096497', 'longitude': '-113.44518722701868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.44518722701868, 53.5881230096497]}",
396795505-002,Major Development Permit,Discretionary Development,2021-07-30T00:00:00.000,Approved,"To operate a Private Club, and to construct interior and exterior alterations (addition of barrier-free vehicular parking on the west side of the building, alteration of loading doors and improvements to the loading area on the east side of building, new windows on the east, south, west facades) IFFSA",10545 - 108 STREET NW,Plan B4 Blk 7 Lots 159-161,1030,CENTRAL MCDOUGALL,Redeveloping,O-day'min Ward,DC,3,53.548545991441515,-113.50610384330803,"{'latitude': '53.548545991441515', 'longitude': '-113.50610384330803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50610384330803, 53.548545991441515]}",North Edge
230774391-001,Major Development Permit,Discretionary Development,2016-10-06T00:00:00.000,Approved,To construct exterior alterations to an existing General Retail Store Building (new exit door and ramp on north elevation).,13554 - 137 AVENUE NW,Plan 0121793 Blk 5 Lot 4,3340,PEMBINA,Redeveloping,Anirniq Ward,DC2,3,53.60036754028556,-113.55501099771676,"{'latitude': '53.60036754028556', 'longitude': '-113.55501099771676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.55501099771676, 53.60036754028556]}",
506365382-002,Major Development Permit,Permitted Development,2024-07-17T00:00:00.000,Approved,"To change the use of a Minor Industrial Use to Community Service operating as a Year-round Shelter; and to construct interior and exterior alterations (new handicapped ramp, platform deck, and side exit stair).",14830 - 124 AVENUE NW,Plan 7069KS Blk 6 Lot 16,3160,DOMINION INDUSTRIAL,Industrial,Anirniq Ward,CB,3,53.57927639579172,-113.57704612127418,"{'latitude': '53.57927639579172', 'longitude': '-113.57704612127418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57704612127418, 53.57927639579172]}",
356081922-002,Major Development Permit,Permitted Development,2020-09-01T00:00:00.000,Approved,"To construct exterior alterations to a Professional, Financial and Office Support Services building (barrier free upgrade).",10009 - 108 STREET NW,Plan NB Blk 7 Lots 31-32,1090,DOWNTOWN,Redeveloping,O-day'min Ward,CMU,3,53.53909323122325,-113.50606345509762,"{'latitude': '53.53909323122325', 'longitude': '-113.50606345509762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50606345509762, 53.53909323122325]}",Downtown
326753433-002,Major Development Permit,Discretionary Development,2019-09-25T00:00:00.000,Approved,"To replace an existing trailer with a new trailer (60ft X 12ft), and to replace an existing ski lift structure accessory to an Outdoor Participant Recreation Service. (Edmonton Ski Club)",9613 - 96 AVENUE NW,Plan 1522550 Blk 7 Lot 1,6070,CLOVERDALE,Redeveloping,Métis Ward,"A2,A",3,53.53499432782432,-113.47748124921961,"{'latitude': '53.53499432782432', 'longitude': '-113.47748124921961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47748124921961, 53.53499432782432]}",
389591078-002,Major Development Permit,Not Available,,Other,"To construct exterior alterations to a Professional, Financial, Office Support Service building (Platform Structure and Accessibility Ramp)",15035 - 121A AVENUE NW,Plan 8821821 Blk 4 Lot 7A,4330,MITCHELL INDUSTRIAL,Industrial,Anirniq Ward,BE,3,53.57304788449211,-113.58084697875185,"{'latitude': '53.57304788449211', 'longitude': '-113.58084697875185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58084697875185, 53.57304788449211]}",
370602600-002,Major Development Permit,Permitted Development,2020-09-03T00:00:00.000,Approved,To construct exterior alterations to a General Industrial use building (adding new overhead doors and new loading ramp; additional Hardsurfacing in the front yard to accommodate loading spaces),3751 - 76 AVENUE NW,Plan 8020250 Blk 6 Lot 6A,6780,WEIR INDUSTRIAL,Industrial,Métis Ward,IM,3,53.511625702282416,-113.40003550173395,"{'latitude': '53.511625702282416', 'longitude': '-113.40003550173395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.40003550173395, 53.511625702282416]}",
185589992-001,Major Development Permit,Permitted Development,2016-01-22T00:00:00.000,Approved,To construct exterior (new rear man door and front concrete handicap ramp) and interior (offices) alterations to an existing General Industrial Use building.,18561 - 105 AVENUE NW,Plan 0626825 Blk 1 Lot 9,4530,SUNWAPTA INDUSTRIAL,Industrial,Nakota Isga Ward,"BE,IM",3,53.54754608499468,-113.6433226627152,"{'latitude': '53.54754608499468', 'longitude': '-113.6433226627152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.6433226627152, 53.54754608499468]}",
365728651-002,Major Development Permit,Not Available,,Other,To Construct Exterior Alterations to a General Industrial Use Building (New Ramp and Platform),10572 - 115 STREET NW,Plan B4 Blk 15 Lots 200-202,1180,QUEEN MARY PARK,Redeveloping,O-day'min Ward,DC2,3,53.549506385666646,-113.51999896417712,"{'latitude': '53.549506385666646', 'longitude': '-113.51999896417712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.51999896417712, 53.549506385666646]}",North Edge
263120189-007,Major Development Permit,No Development Permit Required,,Other,To construct exterior alterations to an existing Extended Medical Treatment Services (constructing an accessibility ramp for west entrance) (George Spady Detoxification Centre).,10015 - 105A AVENUE NW,Plan 8322708 Lot 135A,1140,MCCAULEY,Redeveloping,O-day'min Ward,UF,3,53.548435715154696,-113.49257669116477,"{'latitude': '53.548435715154696', 'longitude': '-113.49257669116477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49257669116477, 53.548435715154696]}",Chinatown and Area
359644510-002,Major Development Permit,Permitted Development,2020-04-20T00:00:00.000,Approved,To construct exterior alterations to a General Industrial building (enlargement of overhead door and construction of a ramp).,"54, 1015 - EBY ROAD SW",Plan 1522448 Blk 5 Lot 13,6214,ELLERSLIE INDUSTRIAL,Industrial,Karhiio Ward,EIM,3,53.397665191545336,-113.48775525120584,"{'latitude': '53.397665191545336', 'longitude': '-113.48775525120584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48775525120584, 53.397665191545336]}",
